Out-of-pocket health expenditure (% of total expenditure on health)	Out-of-pocket health expenditure (% of private expenditure on health)	Health expenditure per capita (current US$)	Health expenditure per capita, PPP (constant 2005 international $)	Health expenditure, private (% of GDP)	Health expenditure, public (% of total health expenditure)	Health expenditure, public (% of government expenditure)	Health expenditure, public (% of GDP)	Health expenditure, total (% of GDP)	Income share held by second 20%	Income share held by third 20%	Income share held by fourth 20%	Income share held by highest 20%	Income share held by highest 10%	Income share held by lowest 10%	Income share held by lowest 20%	Poverty headcount ratio at $2 a day (PPP) (% of population)	Poverty headcount ratio at $1.25 a day (PPP) (% of population)	Poverty gap at $2 a day (PPP) (%)	Poverty gap at $1.25 a day (PPP) (%)	GINI index	Poverty gap at national poverty line (%)	Poverty headcount ratio at national poverty line (% of population)	Poverty gap at rural poverty line (%)	Poverty headcount ratio at rural poverty line (% of rural population)	Poverty gap at urban poverty line (%)	Poverty headcount ratio at urban poverty line (% of urban population)	Child employment in agriculture, female (% of female economically active children ages 7-14)	Child employment in agriculture, male (% of male economically active children ages 7-14)	Child employment in agriculture (% of economically active children ages 7-14)	Employees, agriculture, female (% of female employment)	Employees, agriculture, male (% of male employment)	Employment in agriculture (% of total employment)	Employment to population ratio, ages 15-24, female (%)	Employment to population ratio, ages 15-24, male (%)	Employment to population ratio, ages 15-24, total (%)	Share of women employed in the nonagricultural sector (% of total nonagricultural employment)	Employers, female (% of employment)	Employers, male (% of employment)	Employers, total (% of employment)	Self-employed, female (% of females employed)	Self-employed, male (% of males employed)	Self-employed, total (% of total employed)	Employment to population ratio, 15+, female (%)	Employment to population ratio, 15+, male (%)	Employment to population ratio, 15+, total (%)	Vulnerable employment, female (% of female employment)	Vulnerable employment, male (% of male employment)	Vulnerable employment, total (% of total employment)	Income
12.7374463	56.21705211	76.75799842	295.9275439	1.447579443	77.34237954	10.4446932	4.941350256	6.388929698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32.29999924	38.90000153	35.59999847	55.4	NaN	NaN	NaN	NaN	NaN	NaN	47.59999847	58.79999924	52.70000076	NaN	NaN	NaN	2
35.60606061	100	107.6259509	155.4221465	1.283087283	64.39393939	6.970069701	2.320477001	3.603564283	8.59	11.24	19.38	57.52	42.2	0.94	3.27	22	12.21	9.89	5.52	53.13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.400000095	36.90000153	27.5	23.10000038	61	42.09999847	34.1	NaN	NaN	NaN	28.5	37.79999924	34.90000153	31.29999924	76.69999695	53.90000153	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
35.08713137	83.82706165	63.006062	178.6712324	2.593644541	58.14343164	10.47658498	3.602860912	6.196505453	5.76	11.74	20.9	60.27	42.37	0.27	1.33	33.48	23.33	19.48	14.12	57.89	NaN	63.5	NaN	84	NaN	51.4	NaN	NaN	NaN	37.20000076	37	37.09999847	42.40000153	57.29999924	49.90000153	34.5	1.399999976	4.199999809	2.900000095	77	62.79999924	69.19999695	56.5	79	67.5	75.59999847	58.09999847	66	1
38.42316727	67.09080393	242.368652	465.0304303	4.058685446	42.72960671	5.479752205	3.028196995	7.086882441	5.78	10.19	18.05	63.78	47.38	0.58	2.2	21.32	11.38	9.76	5.74	59.78	NaN	35.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.39999962	26.79999924	24.20000076	40.20000076	63.90000153	52.09999847	40.3	NaN	NaN	NaN	NaN	NaN	NaN	48.29999924	76.19999695	62	NaN	NaN	NaN	2
26.64473684	77.14285714	601.9825821	735.7333954	2.114931348	65.46052632	11.89563167	4.008298459	6.123229806	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.299999952	5.199999809	4.300000191	42.09999847	52.90000153	47.70000076	49	0.200000003	0.400000006	0.300000012	9.100000381	17.89999962	14	54.59999847	69.90000153	62.09999847	9	17.39999962	13.69999981	3
0.084267903	0.378873239	577.8760528	1662.114011	0.910723448	77.75828582	6.023880017	3.183940482	4.09466393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.90000153	47.79999924	42.79999924	26.7	NaN	NaN	NaN	NaN	NaN	NaN	51.59999847	76	63.90000153	NaN	NaN	NaN	3
23.07840591	100	50.56629992	155.7834975	1.554389445	76.92159409	12.53429434	5.180865371	6.735254816	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	39.5	49.20000076	44.29999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.59999847	78.30000305	64.59999847	NaN	NaN	NaN	1
15.30308078	36.22824714	133.397073	306.7672965	1.625967648	57.75925695	5.785318971	2.223319867	3.849287515	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.89999962	40.40000153	36.20000076	40.5	NaN	NaN	NaN	NaN	NaN	NaN	53.40000153	64.30000305	58.79999924	NaN	NaN	NaN	2
58.51182043	94.97728158	10.05211553	22.5653087	2.160595735	38.39387752	6.689178818	1.346516298	3.507112034	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49.59999847	60.59999847	55.09999847	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.40000153	79.5	72.30000305	NaN	NaN	NaN	0
16.23253367	54.09030291	1930.468351	2415.496882	2.67140724	69.98993757	14.59626515	6.230297799	8.901705039	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.200000048	4.800000191	3.599999905	53.79999924	55.40000153	54.59999847	48.2	NaN	NaN	NaN	13	20.39999962	17	53.90000153	66.59999847	60.20000076	NaN	NaN	NaN	3
33.37550176	74.39804772	3824.907185	3064.485703	4.576738553	55.13927746	16.40121281	5.625367641	10.20210619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.700000048	5.599999905	4.800000191	66.19999695	64.09999847	65.09999847	45.9	3.5	9.699999809	7	15.39999962	20	18	56.20000076	75.90000153	65.69999695	11.89999962	10.30000019	11	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
23.96184393	47.79305201	316.1231313	578.0691456	3.299152084	49.86333177	13.36440384	3.281165676	6.58031776	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.599999905	19.29999924	14.39999962	18.39999962	35.90000153	27.29999924	32.7	1.899999976	4	3.299999952	25.79999924	33.29999924	30.79999924	31.79999924	68.80000305	49.79999924	23.89999962	29.29999924	27.5	2
55.85058676	94.48071405	38.89694855	95.04553756	2.668027847	40.88678592	12.54880127	1.845392525	4.513420372	10.29	15.01	22.21	46.1	29.72	2.73	6.39	61.44	35.63	25.61	11.08	39.23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.09999847	67	58	62.40000153	39.1	NaN	NaN	NaN	NaN	NaN	NaN	68.59999847	78.69999695	73.80000305	NaN	NaN	NaN	2
79.18063649	94.4871692	27.89415923	66.10473179	3.614203492	16.19958863	4.214275291	0.698667332	4.312870824	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.40000153	43.70000076	40.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	57.5	70.90000153	64.09999847	NaN	NaN	NaN	1
17.1508762	72.36164633	205.9921933	505.492232	2.212637871	76.29838862	18.76810156	7.122752181	9.335390053	6.49	11.33	17.75	62.39	46.89	0.35	2.04	27.19	16.18	14.07	9.47	58.74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.5	1.600000024	1.100000024	26.70000076	51.20000076	39	47.8	2.900000095	5.599999905	4.400000095	34.59999847	41.79999924	38.59999847	38.09999847	72.80000305	54.90000153	31.79999924	36.20000076	34.20000076	2
39.39830424	100	13.36115272	29.87269314	1.275311629	60.60169576	10.5302858	1.961659234	3.236970863	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.60000038	47.70000076	34.29999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27.70000076	72.59999847	50	NaN	NaN	NaN	0
26.03965116	99.72299169	61.97692305	84.65012245	1.16828479	73.88801648	9.007601076	3.305847896	4.474132686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40.29999924	65.30000305	52.79999924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.90000153	77.09999847	58.5	NaN	NaN	NaN	1
20.92676609	88.22566865	254.4592589	429.8311509	1.467965315	76.28041089	20.95210436	4.720865816	6.188831131	8.78	13.69	20.95	52.64	35.87	1.16	3.94	10.25	5.43	4.57	2.6	47.67	NaN	23.7	NaN	34.6	NaN	31.2	NaN	NaN	NaN	4.699999809	26.89999962	19.70000076	31.10000038	60.90000153	46.29999924	39.5	4.400000095	9.800000191	8.100000381	25.29999924	30.79999924	29	35.79999924	78.5	57.40000153	20.89999962	21	20.89999962	2
8.005812433	92.02453988	169.4299932	149.9055455	0.574653886	91.30035049	12.19193851	6.0308293	6.605483185	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.19999981	34.20000076	27.10000038	23.39999962	41.70000076	32.70000076	43.3	NaN	NaN	NaN	8.699999809	23.89999962	18.5	34.90000153	66.80000305	50.90000153	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
54.55891664	95.1571309	776.8036485	994.9251002	3.189866397	42.66439506	6.452097225	2.373633631	5.563500028	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.099999905	5.099999905	4.699999809	35.90000153	40.29999924	38.20000076	43.2	1.100000024	7.599999905	5	15.5	29	23.5	45.79999924	68.69999695	57.29999924	14.39999962	21.39999962	18.5	3
9.518469657	100	383.9985433	938.9135794	0.624135848	90.48153034	14.03543278	5.932967031	6.557102879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.799999952	6.199999809	5.199999809	33.79999924	45	39.59999847	46.5	2.200000048	5.599999905	4.099999905	10.60000038	19.29999924	15.5	46.70000076	65.40000153	55.70000076	7.5	12.39999962	10.30000019	3
10.82752466	54.56534422	2684.127394	2588.039543	2.080516899	79.80752997	17.11104676	8.222912525	10.30342942	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.299999952	3.200000048	2.799999952	45.29999924	51.09999847	48.29999924	44.8	2.599999905	7.099999905	5.099999905	7.800000191	13.10000038	10.80000019	44.79999924	63	53.59999847	5.199999809	6.099999905	5.699999809	3
26.80652681	89.14728682	232.94417	368.151053	1.784479181	69.93006993	8.448324416	4.149951584	5.934430765	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	16.10000038	34.29999924	27.20000076	NaN	NaN	NaN	44	2.599999905	5	4.099999905	33.20000076	45.20000076	40.5	NaN	NaN	NaN	30.60000038	40.20000076	36.40000153	2
16.08541271	90.41942363	2763.043547	2277.06072	1.506996859	82.21022423	12.41240536	6.964143413	8.471140273	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.799999952	4.599999905	3.299999952	62.79999924	70.30000305	66.59999847	48.3	1.700000048	6.300000191	4.199999809	6	12.10000038	9.300000191	56.5	69.40000153	62.79999924	4.300000191	5.900000095	5.099999905	3
46.71061068	70.52565527	146.2600901	273.3549356	3.926310265	33.7679168	14.0925084	2.001799006	5.928109272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.799999952	24	17.5	24.29999924	53.20000076	38.70000076	34.6	2.799999952	3.700000048	3.400000095	34.90000153	53.79999924	48	35.09999847	73.90000153	54.5	32.09999847	50.09999847	44.59999847	2
