Interest payments on external debt, total (INT, current US$)	PPG, IDA (INT, current US$)	Energy use (kt of oil equivalent)	CO2 emissions from liquid fuel consumption (% of total)	Electricity production from natural gas sources (kWh)	Electricity production from oil sources (kWh)	Total reserves (includes gold, current US$)	Share of tariff lines with international peaks, primary products (%)	Binding coverage, all products (%)	Binding coverage, primary products (%)	Income
10915000	261000	2710.748	13.95670198	0	152000000	94180777.76	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
56230000	4229000	6150.552	82.19178082	1000000	28000000	177505721	0	NaN	NaN	0
42209000	2069000	NaN	93.42723005	NaN	NaN	44081264.05	NaN	NaN	NaN	0
45360000	147000	NaN	94.35665914	NaN	NaN	771186143.7	NaN	NaN	NaN	2
26724000	8339000	NaN	85.20408163	NaN	NaN	47716467.83	65.2018	NaN	NaN	0
1431543000	0	31706.709	58.7159184	19850000000	9508000000	26338866593	NaN	NaN	NaN	2
NaN	NaN	839.767	62.5	0	21000000	202621731.3	NaN	NaN	NaN	2
17910000	4550000	NaN	60.92436975	NaN	NaN	114517448.8	NaN	NaN	NaN	0
1125227000	1000000	76603.782	74.39484439	8259000000	1710000000	1649172399	NaN	NaN	NaN	1
104278000	1563000	2258.457	93.97417504	0	900000000	145990233.9	NaN	NaN	NaN	1
NaN	NaN	69368.426	35.8304322	43389000000	3081000000	47858724575	17.62777	NaN	NaN	3
NaN	NaN	22967.272	62.71313942	154000000	0	19479288343	NaN	NaN	NaN	3
31913000	6561000	6506.852	72.57019438	0	81000000	752158932.8	NaN	NaN	NaN	0
NaN	NaN	14572.902	46.56033287	5475000000	21000000	3708505999	NaN	NaN	NaN	3
NaN	NaN	6153.287	35.18251681	5010000000	1188000000	1756912667	NaN	NaN	NaN	3
993722000	20646000	51318.557	50.70885201	14394000000	15752000000	3715827397	NaN	NaN	NaN	1
216879000	0	1927.253	88.19018405	0	942000000	704267861.8	NaN	NaN	NaN	2
542629000	0	10269.725	81.81531176	59000000	2936000000	7420192725	NaN	NaN	NaN	2
2124961000	1260000	32369.158	81.03616813	12000000	16929000000	7146366699	64.18568	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	2
156709000	825000	NaN	92.26890756	NaN	NaN	120208371.3	NaN	NaN	NaN	1
NaN	NaN	96196.369	11.99057509	147000000	1686000000	6023061884	17.62777	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	23308.64	NaN	0	32000000	NaN	NaN	NaN	NaN	0
NaN	NaN	18230.666	65.86209489	0	8048000000	21670533769	17.62777	NaN	NaN	3
95838000	283000	3585.267	90.56603774	0	6000000	1044122626	7.907348	NaN	NaN	1
NaN	NaN	NaN	100	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	7581.797	13.40694006	5815000000	0	969736759.9	NaN	NaN	NaN	3
233268000	0	42821.533	31.79820431	16566000000	5786000000	3092362957	17.62777	NaN	NaN	2
1288810000	0	656963.742	27.64979176	3.64316E+11	72045000000	7206227235	14.30807	NaN	NaN	2
2692000	566000	NaN	98.81656805	NaN	NaN	51249271.14	NaN	NaN	NaN	0
NaN	NaN	86513.236	57.07978183	44709000000	49213000000	9138920935	6.927016	NaN	NaN	3
572000	6000	11934.451	98.18481848	0	737000000	78155912.55	NaN	NaN	NaN	1
80699000	7677000	1760.918	90.22556391	69000000	956000000	190728398.4	NaN	NaN	NaN	1
NaN	NaN	21885.889	92.52776843	6490000000	14359000000	58295759332	NaN	NaN	NaN	3
63275000	1111000	NaN	91.19496855	NaN	NaN	40639728.37	NaN	NaN	NaN	0
94552000	161000	3159.862	90.39735099	0	1292000000	829222307	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	176306364.7	NaN	NaN	NaN	3
42000	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	0
46878000	0	11657.886	9.488354334	308000000	238000000	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	98.6440678	NaN	NaN	60427797.55	NaN	NaN	NaN	2
NaN	NaN	17432.417	22.60087241	2186000000	958000000	2185568839	17.62777	NaN	NaN	3
NaN	NaN	5625.99	38.46905537	2000000	271000000	1499101326	17.62777	NaN	NaN	3
NaN	NaN	49699.958	76.82910981	722000000	4130000000	25579505594	17.62777	NaN	NaN	3
5467000	49000	NaN	0	NaN	NaN	296970666.5	NaN	NaN	NaN	1
6933000	0	NaN	100	NaN	NaN	30154869.7	NaN	NaN	NaN	2
279453000	0	11439.296	71.60559124	4181000000	8449000000	445255185.7	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
6267000	2531000	NaN	100	NaN	NaN	80278306.25	NaN	NaN	NaN	0
9884000	3957000	1488.085	82.81938326	0	99000000	99204581.98	NaN	NaN	NaN	0
2710319000	784000	55077.412	57.63964507	31410000000	21121000000	30280317330	NaN	NaN	NaN	2
400000	0	2478.647	27.88161994	291000000	0	NaN	NaN	NaN	NaN	0
27942000	0	13527.439	26.18030452	10492000000	0	929007299.3	NaN	NaN	NaN	2
589000	28000	NaN	100	NaN	NaN	35538625.32	NaN	NaN	NaN	1
NaN	NaN	6280.153	23.99335057	4037000000	0	373083170.3	NaN	NaN	NaN	3
528906000	399000	5731.042	60.75454336	5273000000	1735000000	1544397774	NaN	NaN	NaN	2
3978443000	1052000	56199.772	45.55064081	13822000000	5548000000	8633212584	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
67049000	14192000	10519.404	87.55622189	0	217000000	332066167.2	NaN	NaN	NaN	0
37960000	10642000	NaN	97.53694581	NaN	NaN	321367629.5	45.49059	NaN	NaN	0
95820000	0	165770.232	14.56673858	34260000000	10399000000	664538989.4	NaN	NaN	NaN	1
303902000	0	2404.88	91.34355275	0	92000000	1621668177	NaN	NaN	NaN	2
NaN	NaN	2041105.156	41.95763625	4.92096E+11	1.20517E+11	1.63591E+11	NaN	NaN	NaN	3
41337000	0	46493.309	21.89658021	35118000000	1554000000	NaN	NaN	NaN	NaN	1
3784000	57000	NaN	100	NaN	NaN	31254261.88	NaN	NaN	NaN	2
2114499000	0	54404.99	48.84725005	17468000000	2469000000	12459341731	NaN	NaN	NaN	2
95753000	564000	28253.715	49.58873554	4000000	1970000000	NaN	43.6142	NaN	NaN	1
763000	90000	NaN	100	NaN	NaN	43576135.13	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
1423000	302000	NaN	100	NaN	NaN	50800691.52	NaN	NaN	NaN	1
48026000	5801000	3019.338	96.48387097	0	2160000000	273977740.7	NaN	NaN	NaN	1
907029000	0	103956.832	14.49004403	0	289000000	3294868537	NaN	NaN	NaN	2
10908000	0	12525.18	62.72189349	0	18000000	131421000	NaN	NaN	NaN	0
168919000	6368000	5729.557	59.54545455	0	30000000	268127772.2	NaN	NaN	NaN	1
221592000	2001000	9666.072	20.09559435	0	0	585403254.3	NaN	NaN	NaN	0
