Intentional homicides (per 100,000 people)	Travel services (% of commercial service exports)	High-technology exports (% of manufactured exports)	High-technology exports (current US$)	Merchandise exports (current US$)	Manufactures exports (% of merchandise exports)	Food exports (% of merchandise exports)	Fuel exports (% of merchandise exports)	Manufactures imports (% of merchandise imports)	Merchandise imports (current US$)	Food imports (% of merchandise imports)	Fuel imports (% of merchandise imports)	Population, total	Population density (people per sq. km of land area)	Population growth (annual %)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Unemployment, total (% of total labor force)	Unemployment, youth total (% of total labor force ages 15-24)	Labor force, total	Labor force participation rate, total (% of total population ages 15-64)	GDP per person employed (constant 1990 PPP $)	Employers, total (% of employment)	Employment to population ratio, ages 15-24, total (%)	Poverty headcount ratio at $2 a day (PPP) (% of population)	Pregnant women receiving prenatal care (%)	Immunization, DPT (% of children ages 12-23 months)	Immunization, measles (% of children ages 12-23 months)	Hospital beds (per 1,000 people)	Prevalence of HIV, total (% of population ages 15-49)	Mortality rate, under-5 (per 1,000 live births)	Mortality rate, neonatal (per 1,000 live births)	Public spending on education, total (% of GDP)	Ratio of female to male primary enrollment (%)	Imports of goods and services (current US$)	Exports of goods and services (current US$)	Inflation, consumer prices (annual %)	CO2 emissions (kt)	Energy imports, net (% of energy use)	Undisbursed external debt, total (UND, current US$)	Total amount of debt rescheduled (current US$)	Net income (BoP, current US$)	Land area (sq. km)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9975000	49.17669099	0.653761402	17.05	10.1	16	75.5	70.99268293	66.7	2.09	NaN	NaN	22.87702469	67.1616841	9.961291205	48.89441999	14.83180676	34.06261322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.07129955	NaN	19.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	202840	2
NaN	49.30875576	NaN	NaN	115000000	5.847326272	100.8460346	NaN	55.02292466	128000000	26.86230429	17.06073975	166200	7.286277948	2.570415393	39.229	5.475	43.8	73.001	71.54380488	70.156	5.019	NaN	NaN	45.36226115	50.47046902	4.167269832	98.13566614	8.256847842	89.8788183	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	58	49	NaN	NaN	56.3	NaN	NaN	NaN	128200000	101400000	4.153182309	190.684	NaN	33851000	NaN	-10250000	22810	1
NaN	NaN	NaN	NaN	23000000	79.41860304	1.697053572	0.002942026	61.13758464	403000000	19.72242419	14.36932544	56000	1120	0.716848903	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.03449	101.102	NaN	NaN	NaN	451.041	NaN	NaN	NaN	NaN	50	3
NaN	34.28571429	NaN	NaN	623000000	0.376810906	3.744397694	55.65878447	78.32656369	691000000	18.31338854	0.479008611	5957291	5.499207053	2.145889128	37.434	12.29	97	57.572	55.68968293	53.897	5.127	NaN	NaN	41.81769868	54.53092689	3.651374425	83.3821754	6.695969853	76.68620554	18.60000038	NaN	NaN	NaN	6955	NaN	NaN	NaN	NaN	33	21	NaN	NaN	144.2	NaN	NaN	NaN	1228322906	1024367626	11749.63963	4125.375	-87.48358654	937433000	NaN	-372900000	1083300	1
NaN	3.311590567	NaN	NaN	25639000000	43.74422199	36.77370935	6.356257736	37.90103773	14332000000	8.966060754	47.22313933	136246764	16.10592263	2.126456342	28.654	7.769	57.3	67.974	64.43934146	61.073	3.449	NaN	NaN	36.85506468	59.01049364	4.134441681	69.46138532	7.006282148	62.45510317	3.400000095	6.3	NaN	NaN	10577	NaN	NaN	27.27	NaN	66	67	NaN	NaN	69.5	NaN	NaN	NaN	15818492272	27305943051	225.9915563	181248.809	20.83994574	17210334000	NaN	-11190000000	8459420	2
NaN	75.19628837	NaN	NaN	352000000	83.8408615	15.73887957	0.001150308	62.65208261	607000000	14.99363491	17.54640722	254419	591.672093	0.462906337	17.06	8.544	19.3	75.884	73.34709756	70.931	1.83	NaN	NaN	26.63362406	62.81488411	10.55149183	59.19793759	16.79775738	42.40018021	18.70000076	NaN	NaN	NaN	20777	NaN	NaN	NaN	NaN	83	88	NaN	NaN	21.9	NaN	NaN	95.596	719733474.6	811763516.8	3.915105251	847.077	NaN	NaN	NaN	-19650000	430	3
NaN	NaN	NaN	NaN	2972000000	0.018331973	0.006317022	99.93343027	72.83054392	615000000	20.62247018	1.787045543	219050	41.5654649	2.799845892	29.655	4.094	10.6	74.311	72.24890244	70.285	3.794	NaN	NaN	38.6692536	58.29171422	3.039032184	71.55096798	5.21348913	66.33747885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88	98	NaN	NaN	14.6	NaN	NaN	NaN	NaN	NaN	2.353215284	2596.236	-801.3058279	NaN	NaN	NaN	5270	3
NaN	NaN	NaN	NaN	22000000	NaN	NaN	NaN	NaN	84000000	NaN	NaN	490438	10.43485106	2.810528178	41.688	16.036	114.8	50.731	49.33936585	48.014	6.292	NaN	NaN	42.94039206	54.09226039	2.967347555	84.86933118	5.485715578	79.3836156	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41	44	NaN	NaN	168.4	NaN	NaN	53.532	88067906.22	25820533.55	1.877346683	62.339	NaN	56711000	NaN	NaN	47000	1
NaN	45.47283702	NaN	NaN	728000000	NaN	NaN	NaN	NaN	580000000	NaN	NaN	1182803	2.087066151	3.296986337	40.065	7.542	47.1	65.015	62.90014634	60.886	5.567	NaN	NaN	46.34719391	51.222562	2.43024409	95.22647071	4.744479766	90.48199095	25.70000076	37.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	84	85	NaN	NaN	60.6	NaN	5.65072	110.73	570993169.5	738833422	8.0945758	1158.772	21.84832089	305693000	NaN	-131454000.8	566730	2
NaN	18.79412326	NaN	NaN	92000000	NaN	NaN	NaN	NaN	113000000	NaN	NaN	2626638	4.216247713	2.655405974	42.263	16.635	111.4	52.258	49.79229268	47.444	5.944	NaN	NaN	42.37919348	53.59706971	4.023736807	86.57736427	7.50738208	79.06998219	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20	23	NaN	NaN	168.4	NaN	NaN	56.241	281106093.7	177669555.4	10.42384023	161.348	NaN	128457000	NaN	-7374925.798	622980	0
NaN	37.06049589	NaN	NaN	90950000000	59.51228926	9.288143828	14.0507464	81.63659612	80640000000	5.942284246	6.059100019	25942000	2.852803813	0.929446703	14.9	7	8	79.73	76.30341463	73.04	1.67	NaN	NaN	21.29475577	68.45228117	10.25296305	46.08716947	14.97826351	31.10890595	10.60000038	16.1	NaN	NaN	38969	NaN	NaN	NaN	NaN	NaN	NaN	6.800000191	NaN	9.8	NaN	6.3602	97.594	92330281948	1.00607E+11	3.9509291	401855.529	-25.00608846	NaN	NaN	-12815577209	9093510	3
NaN	38.0567736	NaN	NaN	27433000000	92.3518378	3.257034677	0.329586098	75.41569037	30696000000	8.014748133	9.937886906	6470365	161.759125	0.441442668	11.5	9.2	7.2	80.15	76.73365854	73.48	1.51	NaN	NaN	17.79165424	68.22847627	13.97986949	46.56636857	20.48978704	26.07658153	NaN	NaN	NaN	NaN	36592	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9	NaN	4.65746	101.342	36353218664	38473116156	3.429985856	39827.287	57.36884073	NaN	NaN	4953349952	40000	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	133482	702.5368421	0.998359432	11.694	11.316	NaN	77.396	74.39812195	71.543	1.437	NaN	NaN	16.52282705	68.71038792	14.76678503	45.53840115	21.49134284	24.04705831	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	190	3
