Bank nonperforming loans to total gross loans (%)	Automated teller machines (ATMs) (per 100,000 adults)	Bank capital to assets ratio (%)	Commercial bank branches (per 100,000 adults)	Borrowers from commercial banks (per 1,000 adults)	Depositors with commercial banks (per 1,000 adults)	Point-of-sale terminals (per 100,000 adults)	Bank liquid reserves to bank assets ratio (%)	Total reserves (includes gold, current US$)	Total reserves (% of total external debt)	Total reserves in months of imports	Total reserves minus gold (current US$)	Claims on central government (annual growth as % of broad money)	Claims on other sectors of the domestic economy (annual growth as % of broad money)	Net domestic credit (current LCU)	Net foreign assets (current LCU)	Claims on private sector (annual growth as % of broad money)	Broad money (current LCU)	Broad money (% of GDP)	Broad money to total reserves ratio	Broad money growth (annual %)	Money (current LCU)	Money and quasi money (M2) (current LCU)	Money and quasi money (M2) as % of GDP	Money and quasi money (M2) to total reserves ratio	Money and quasi money growth (annual %)	Quasi money (current LCU)	Consumer price index (2005 = 100)	Inflation, consumer prices (annual %)	Wholesale price index (2005 = 100)	Deposit interest rate (%)	Lending interest rate (%)	Interest rate spread (lending rate minus deposit rate, %)	Real interest rate (%)	Risk premium on lending (prime rate minus treasury bill rate, %)	Claims on central government, etc. (% GDP)	Claims on other sectors of the domestic economy (% of GDP)	Domestic credit provided by banking sector (% of GDP)	Domestic credit to private sector (% of GDP)	Liquid liabilities (M3) as % of GDP	Quasi-liquid liabilities (% of GDP)	Research and development expenditure (% of GDP)	Cash surplus/deficit (current LCU)	Cash surplus/deficit (% of GDP)	Central government debt, total (current LCU)	Central government debt, total (% of GDP)	Net incurrence of liabilities, domestic (current LCU)	Net incurrence of liabilities, domestic (% of GDP)	Net incurrence of liabilities, foreign (current LCU)	Net incurrence of liabilities, foreign (% of GDP)	Grants and other revenue (current LCU)	Grants and other revenue (% of revenue)	Social contributions (current LCU)	Social contributions (% of revenue)	Revenue, excluding grants (current LCU)	Revenue, excluding grants (% of GDP)	Taxes on exports (current LCU)	Taxes on exports (% of tax revenue)	Taxes on goods and services (current LCU)	Taxes on goods and services (% of revenue)	Taxes on goods and services (% value added of industry and services)	Income
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69781507.2	48.88954005	3.110616963	69781507.2	-7.362089192	NaN	220962000	160038418.4	12.97668736	330795000	40.04297456	2.370219656	15.15165228	105991000	330795000	40.04297456	2.370219656	15.15165228	224804000	72.55848496	3.05907173	NaN	8.141666667	14.04166667	5.9	10.92114248	6.674166667	-6.614453712	NaN	26.74761028	32.48432519	NaN	NaN	NaN	-5077000	-0.614574531	231832000	28.06343166	-1464000	-0.177218261	20318000	2.459508629	45911000	20.61127647	NaN	NaN	209747000	25.3900264	2601000	1.470854351	20486000	9.196981329	3.564642422	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	510931173.6	11.95169586	4.529531681	166810088.6	-9.342770475	NaN	3547100000	-433822808.7	43.72901921	3779600000	24.47430293	2.331638806	52.86552073	991200000	3779600000	24.47430293	2.331638806	52.86552073	2788400000	36.05463787	17.1187746	NaN	23.83416667	41.81333333	17.97916667	21.97113584	NaN	-9.245531202	NaN	22.96877975	24.02555989	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9199691029	7.68359727	2.69594599	7440626029	615.0083235	NaN	10119888.36	-1755646.727	911.0199495	3510200	30.3945142	12.90905146	640.8685147	902581.4545	3510200	30.3945142	12.90905146	640.8685147	2607618.545	0.001122284	2947.73293	0.000688676	9394.293171	NaN	NaN	NaN	NaN	27.15746011	NaN	87.62722655	42.08278958	NaN	NaN	NaN	-390981.8182	-3.385477302	NaN	NaN	NaN	NaN	NaN	NaN	437818.1818	16.60987487	813163.6364	30.8496696	2627672.727	22.75278789	1018.181818	0.073413739	637090.9091	24.16985115	7.074062715	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	117535625.4	NaN	1.479288379	117535625.4	7.361912523	NaN	2078890000	-38631409.2	1.223406598	2062400000	59.95000402	8.773510129	13.5532749	559200000	2062400000	59.95000402	8.773510129	13.5532749	1503200000	67.66484691	3.074572711	NaN	6.283333333	11.41666667	5.133333333	5.657226423	4.348333333	11.75920027	NaN	60.42933663	42.58880377	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	81.70078568	2.138662932	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	88834212.87	106.3322475	NaN	88834212.87	-8.66359447	NaN	-53700000	1487500000	2.42703533	1078800000	21.90307368	0.69373004	10.47619048	539500000	1078800000	21.90307368	0.69373004	10.47619048	539300000	33.3963714	10	NaN	6.5	15	8.5	8.064500688	NaN	-7.33757029	NaN	-1.09028092	4.383457182	NaN	NaN	NaN	-306100000	-6.214804277	2687000000	54.55465238	332700000	6.754868942	57300000	1.163372379	1184100000	83.63469417	NaN	NaN	892800000	18.12668167	NaN	NaN	152100000	10.7430428	4.953733413	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3331456134	602.5182818	15.93399969	3331456134	-53.16288775	NaN	-3215200000	6343986119	12.60870775	1545890000	21.92021099	0.249415127	-13.98581166	586060000	1545890000	21.92021099	0.249415127	-13.98581166	959830000	25.28450671	11.39634612	NaN	6.114583333	7.875	1.760416667	1.481638293	NaN	-56.31172588	NaN	-45.59047693	9.384531397	NaN	NaN	NaN	1345920000	19.08470226	801930000	11.37110325	-53410000	-0.757336207	2490000	0.03530738	1760020000	47.57415131	NaN	NaN	3581760000	50.78817699	440000	0.022686142	67500000	1.824556092	1.078662459	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	122909414	17.5960175	3.410203976	118625904	-5.064179547	NaN	51658000000	18942591555	-1.718732941	61845000000	15.2705325	1.848110644	-3.543521999	54374000000	61845000000	15.2705325	1.848110644	-3.543521999	7471000000	61.45789123	-0.012330456	49.40825842	7.5	13.125	5.625	10.61848382	NaN	2.976080981	NaN	12.75519715	7.0561243	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23529521612	NaN	1.53806052	17845381612	0.752289646	NaN	5.65094E+11	-19180296375	8.363441184	5.0951E+11	74.93664705	18.55891145	8.093372171	1.06E+11	5.0951E+11	74.93664705	18.55891145	8.093372171	4.0351E+11	73.23391087	4.764688688	75.53920533	9.854166667	14.0625	4.208333333	10.55241906	1.254166667	9.322700726	NaN	102.5214694	90.87349854	74.66190925	59.07186276	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	61284432318	NaN	6.275043738	29222863685	1.035450699	NaN	5.67972E+11	74727414403	11.71201271	3.68203E+11	111.2647709	4.324992977	0.834714026	84298000000	3.68203E+11	111.2647709	4.324992977	0.834714026	2.83905E+11	79.08620838	5.378739656	99.87297116	8.28	7.4225	-0.8575	2.694819446	-0.89575	10.63443214	NaN	171.631612	160.9971799	139.2173238	113.7438821	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12277000000	NaN	3.988711673	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6783811635	35.28445179	7.149000451	6068481635	8.947861267	NaN	6.75332E+12	2.63207E+11	21.65598921	3.76817E+12	39.16075515	1.821775115	24.24442854	7.32587E+11	3.76817E+12	39.16075515	1.821775115	24.24442854	3.03559E+12	NaN	NaN	34.23944124	40.35399789	48.86917919	8.515181296	21.56629076	NaN	21.71446856	NaN	70.1839692	45.30622926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34475663084	62.34138056	8.500615538	29586163084	1.528117896	NaN	1.66892E+12	1.69226E+11	26.48269567	1.46819E+12	78.64826064	8.903286253	28.86659469	7.0095E+11	1.46819E+12	78.64826064	8.903286253	28.86659469	7.6724E+11	46.7541763	3.058310672	NaN	8.64	9.36	0.72	3.32725277	NaN	2.253613173	NaN	89.40100065	87.14738748	NaN	NaN	NaN	NaN	NaN	1.2088E+11	6.475321141	21320000000	1.142073517	NaN	NaN	92000000000	55.61937005	NaN	NaN	1.1719E+11	6.277654571	NaN	NaN	20660000000	12.49017593	1.518470064	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37075060.81	0.564952447	0.14628794	25542770.81	-2.020052691	NaN	1.03481E+12	-1.93813E+11	0.494971486	7.11923E+11	21.23368527	70.52769237	-0.709612544	3.80201E+11	7.11923E+11	21.23368527	70.52769237	-0.709612544	3.31722E+11	54.75237527	1.099381284	NaN	7.5	18.5	11	16.58440349	NaN	-1.021206155	NaN	30.86417321	26.37738605	NaN	NaN	NaN	-1.8728E+11	-5.585779047	1.1959E+12	35.6686948	NaN	NaN	1.7601E+11	5.249642087	1.3138E+11	27.47500941	8800000000	1.84031118	4.7818E+11	14.26210927	6180000000	1.887138146	1.0637E+11	22.24476139	4.308047361	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4868520452	28.26899294	6.143243472	4627510452	NaN	NaN	7.37243E+12	1.21727E+12	NaN	5.79527E+12	28.64957014	2.370002106	NaN	1.95163E+12	5.79527E+12	28.64957014	2.370002106	NaN	3.84364E+12	11.79836978	29.14547055	15.6325255	36.44083333	45.24916667	8.808333333	15.18100496	NaN	0.465243387	NaN	36.44643828	30.78071212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29914188.87	15.93214149	3.845075744	29694738.87	-6.022803488	NaN	11918000000	6844187008	18.43729041	15490000000	22.75464935	1.901894353	3.890006707	10916000000	15490000000	22.75464935	1.901894353	3.890006707	4574000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.39374798	NaN	20.56879278	16.1750448	22.94121104	6.905720246	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
