"time_s1.0"	"time_b1.0"	"time_s1.1"	"time_b1.1"	"mean_conntime"	"stdev_conntime"	"mean_reqtime"	"stdev_reqtime"	"time_addit"	"ser_1.1"	"burst_1.1"	"getall"	"http_vers"	"conn_b1.1"	"conn_s1.1"	"servers"	"size"	"retrieved"	"objects"	"size_ob1"
35.807	17.236	16.249	11.89	0.989	2.208	0.493	0.719	3.413	15.92	11.712	12.068	1.1	2	2	1	77506	18	18	21682
5.991	3.064	5.578	2.099	0.308	0.03	0.326	0.036	0.334	5.309	1.831	2.367	1	2	0	1	12581	5	5	1517
10.483	5.565	22.675	22.369	0.317	0.027	0.335	0.023	0	22.413	22.011	22.727	1	6	0	1	45998	7	7	2229
2.076	4.38	1.158	4.285	0.274	0.031	0.312	0.037	0.284	0.962	4.011	4.559	1.1	1	1	1	6852	3	3	3381
12.63	25.671	7.16	6.842	0.26	0.039	0.266	0.055	0.28	6.828	6.595	7.089	1.1	1	1	1	78730	6	6	6934
41.662	13.765	13.842	7.914	0.207	0.06	0.623	1.716	6.183	13.612	7.75	8.078	1.1	1	1	1	95779	30	30	28580
14.949	6.618	8.213	3.193	0.274	0.035	0.282	0.048	1.526	7.938	2.925	3.461	1.1	1	1	1	59262	19	19	24702
7.677	2.517	21.171	18.337	0.079	0.043	0.09	0.03	0.339	21.144	18.313	18.361	1.1	1	2	1	150841	22	22	10533
4.882	1.625	2.359	4.967	0.094	0.031	0.118	0.049	0.26	2.268	4.827	5.107	1.1	8	1	1	26031	13	13	4147
11.063	6.721	1.15	4.214	3.51	4.555	0.337	0.1	0	0.845	3.92	4.508	1.1	1	1	1	11333	2	2	849
35.623	34.209	59.057	55.884	1.211	2.735	0.747	0.854	0.55	58.918	55.596	56.172	1.1	1	1	1	47146	9	9	2344
13.411	3.582	5.409	3.73	0.188	0.069	0.2	0.051	0.625	5.31	3.585	3.875	1.1	2	2	2	100496	29	30	25991
29.736	10.044	13.278	4.675	0.359	0.606	0.253	0.059	11.603	12.971	4.56	4.79	1.1	1	1	1	61792	29	29	23267
19.336	3.935	25.346	21.801	0.183	0.056	0.219	0.091	4.097	25.284	21.642	21.96	1.1	1	2	2	88138	27	30	28180
7.806	3.604	4.737	3.558	0.142	0.045	0.154	0.047	0.151	4.622	3.421	3.695	1.1	1	1	1	153035	12	12	4953
2.167	1.811	1.455	3.646	0.285	0.057	0.242	0.075	0	1.205	3.408	3.884	1.1	1	1	1	13157	3	3	597
7.947	1.699	1.315	1.756	3.302	4.285	0.305	0.177	0.421	1.003	1.384	2.128	1.1	1	1	1	3838	2	2	2443
3.257	1.864	2.478	3.798	0.124	0.053	0.171	0.046	0.947	2.342	3.662	3.934	1.1	5	2	5	35826	7	42	21151
37.486	40.438	28.172	21.789	0.641	0.886	0.678	0.727	1.526	27.811	21.484	22.094	1.1	1	2	1	62574	15	15	10325
69.62	19.854	14.068	5.419	1.646	2.258	1.113	1.292	0.627	13.741	5.311	5.527	1.1	1	1	1	50728	20	20	6123
42.064	7.993	8.812	14.786	0.544	0.882	0.972	1.357	1.516	8.642	14.549	15.023	1.1	8	1	1	64831	15	15	18294
1.438	1.418	1.459	1.222	0.107	0.051	0.116	0.068	0.541	1.281	1.091	1.353	1.1	1	1	2	30777	3	4	22094
5.43	1.783	5.313	3.216	0.093	0.029	0.192	0.044	0.173	5.251	3.159	3.273	1.1	7	0	1	50968	15	15	3317
1.265	0.554	0.588	0.507	0.112	0.031	0.104	0.014	0.007	0.493	0.422	0.592	1.1	1	1	1	13408	4	4	2404
2.982	1.377	1.795	2.611	0.05	0.021	0.054	0.019	0.345	1.763	2.536	2.686	1.1	12	1	2	41085	19	20	20163
0.941	0.606	0.466	0.495	0.046	0.009	0.078	0.034	0	0.428	0.454	0.536	1.1	1	1	1	37897	3	3	850
0.364	0.254	0.358	0.614	0.033	0.007	0.043	0.009	0.137	0.336	0.577	0.651	1.1	2	2	3	19411	3	5	17129
10.854	3.177	20.719	18.359	0.207	0.056	0.215	0.046	0.763	20.6	18.271	18.447	1.1	1	2	1	135308	11	11	10067
11.584	1.668	10.749	4.516	0.395	1.35	0.099	0.058	0.345	10.673	4.45	4.582	1.1	14	2	1	61846	20	20	19675
1.037	0.707	0.466	0.213	0.085	0.014	0.075	0.031	0	0.364	0.187	0.239	1.1	1	1	1	14845	5	5	1407
11.491	14.52	4.855	2.173	0.124	0.029	0.215	0.083	0.696	4.744	2.055	2.291	1.1	1	1	1	103706	19	19	20199
0.894	0.645	0.616	0.436	0.05	0.015	0.078	0.004	0.122	0.583	0.401	0.471	1.1	1	1	1	33101	2	2	1987
2.308	2.092	1.826	2.442	0.101	0.011	0.099	0.016	0.212	1.728	2.254	2.63	1.1	2	1	1	90916	3	3	3257
7.684	3.069	19.199	17.662	0.17	0.05	0.182	0.028	0.327	19.058	17.524	17.8	1.1	1	2	1	38059	12	12	3485
10.372	3.57	4.514	2.017	0.127	0.021	0.119	0.02	0.615	4.357	1.922	2.112	1.1	3	2	1	99569	21	21	14555
1.183	0.786	0.69	0.735	0.168	0.027	0.181	0.054	0	0.54	0.581	0.889	1.1	1	1	1	5678	3	3	1424
17.357	19.778	21.081	14.023	0.236	0.033	0.205	0.039	0.491	20.928	13.871	14.175	1.1	1	1	1	259076	8	8	4936
3.999	32.003	17.096	16.102	0.117	0.027	0.142	0.022	0.307	17.003	16.013	16.191	1.1	1	2	1	31775	9	9	7664
2.844	1.244	1.354	1.309	0.161	0.017	0.17	0.016	0	1.221	1.153	1.465	1.1	1	1	1	29938	5	5	1873
1.766	1.381	1.331	1.044	0.1	0.022	0.138	0.016	0.088	1.239	0.94	1.148	1.1	1	1	1	46088	4	4	3696
2.138	1.063	1.165	1.229	0.203	0.02	0.187	0.015	0.164	0.986	1.041	1.417	1.1	1	1	1	6458	4	4	1128
2.507	1.123	34.706	16.919	0.126	0.023	0.176	0.054	0.177	34.594	16.814	17.024	1.1	1	2	1	10042	7	7	3642
