Agricultural land (sq. km)	Arable land (hectares)	Arable land (hectares per person)	Land under cereal production (hectares)	Permanent cropland (% of land area)	Land area (sq. km)	Cereal production (metric tons)	Surface area (sq. km)	Income payments (BoP, current US$)	Imports of goods and services (BoP, current US$)	Insurance and financial services (% of service imports, BoP)	Goods imports (BoP, current US$)	Service imports (BoP, current US$)	Royalty and license fees, payments (BoP, current US$)	Imports of goods, services and income (BoP, current US$)	Foreign direct investment, net outflows (% of GDP)	Private current transfers, payments (BoP, current US$)	Workers' remittances and compensation of employees, paid (current US$)	Current account balance (BoP, current US$)	Net income (BoP, current US$)	Net trade in goods and services (BoP, current US$)	Net trade in goods (BoP, current US$)	Net errors and omissions, adjusted (BoP, current US$)	Foreign direct investment, net (BoP, current US$)	Private capital flows, total (BoP, current US$)	Portfolio investment, excluding LCFAR (BoP, current US$)	Changes in net reserves (BoP, current US$)	Net current transfers (BoP, current US$)	Net capital account (BoP, current US$)	ICT service exports (BoP, current US$)	ICT service exports (% of service exports, BoP)	Income receipts (BoP, current US$)	Exports of goods and services (BoP, current US$)	Insurance and financial services (% of service exports, BoP)	Goods exports (BoP, current US$)	Service exports (BoP, current US$)	Royalty and license fees, receipts (BoP, current US$)	Exports of goods, services and income (BoP, current US$)	Foreign direct investment, net inflows (BoP, current US$)	Foreign direct investment, net inflows (% of GDP)	Profit remittances on FDI (current US$)	Portfolio equity, net inflows (BoP, current US$)	Workers' remittances and compensation of employees, received (current US$)	Workers' remittances and compensation of employees, received (% of GDP)	Market capitalization of listed companies (current US$)	Listed domestic companies, total	Stocks traded, total value (current US$)	Stocks traded, turnover ratio (%)	Income
22360	1413000	0.262658592	794515	0.581999584	48110	2490875	49030	1026204234	25648773947	8.603422854	22592667901	3056106046	91220667.51	26674978180	0.05144212	276721862.4	16025701.52	-281938471.1	-118871816.9	-407799314.6	-648715573.9	26758695.95	535685661	-38177255.2	-573862916.2	-1551248740	244732660.4	102111836	159899030.1	4.849801285	907332416.9	25240974632	2.288992069	21943952327	3297022305	49673069.49	26148307049	559265399.6	1.220106722	NaN	58860112.22	424822204.6	0.926802244	2779050000	306	664380000	28.3752704	3
5100	173000	0.086684942	100255	1.439920556	20140	401098	20270	821200000	15721400000	2.308855193	13538500000	2182900000	89600000	16542600000	1.632130982	354800000	66300003.05	-215700000	-231800000	-14100000	-622200000	150121293.2	-174300000	-431500000	-257200000	-310221293.2	30200000	-192800000	158200000	5.668219276	589400000	15707300000	0.992475815	12916300000	2791000000	10700000	16296700000	301500000	1.034231801	NaN	16000000	238199996.9	0.817094567	7134130000	134	731560000	12.46226704	3
31630	2666000	0.297603466	1153890	0.00731101	410340	5290000	450300	21288336870	1.11233E+11	2.242646645	83922425456	27310088962	1369869603	1.32521E+11	6.76192535	1967294498	495584594.7	21836583979	4083464220	19891354114	18860608442	-611767616.6	-16272019111	-25811793565	-9539774454	38226667352	-2138234356	510628498.5	2353799207	8.305327762	25371801090	1.31124E+11	4.808009453	1.02783E+11	28340834634	2236915012	1.56496E+11	5008666344	1.5915008	NaN	432201116.4	619708374	0.196911973	2.89877E+11	262	2.63807E+11	112.4467294	3
12240	178000	0.17541007	69022	0.813953488	17200	69896	17360	104587816.8	1889259317	12.46201467	1540195950	349063367	71181077.94	1993847134	0.882412404	41514099.55	38856178.28	89400978.16	-43186446.35	-17642094.26	126623679	-92083381.36	-77263421.05	-77622586.96	-359165.9076	91842166.09	150229518.8	NaN	1305264.693	0.637343764	61401370.46	1871617223	47.76715299	1666819629	204797593.7	37674.74555	1933018593	-60903856.8	-3.285070303	75729754.86	-64245.35557	65225296.02	3.518162794	172000059.8	5	52042	0.032986797	1
40	1000	0.012077295	NaN	6.52173913	460	NaN	460	55178405.28	595787464.4	7.444204384	375560790.8	220226673.5	555481.8342	650965869.6	1.15445817	2429330.159	7314537.525	-9361727.07	-43193591.41	21033577.96	-89136406.34	-4677477.17	50278473.82	51407079.6	1128605.771	-3118985.983	12798286.38	7419452.223	NaN	NaN	11984813.87	616821042.3	0.472468082	286424384.5	330396657.8	NaN	628805856.2	58425540.73	8.279033868	25912653.88	NaN	4855111.599	0.687980511	NaN	NaN	NaN	NaN	2
138130	4625000	0.264435249	3115150	4.646222561	183590	6227312	185180	1139000000	6236000000	1.827242525	4430000000	1806000000	10000000	7375000000	NaN	NaN	40000000	752000000	-857000000	857000000	1332000000	383013626	160000000	160000000	NaN	-719013626	752000000	20000000	90000000	6.761833208	282000000	7093000000	1.728024042	5762000000	1331000000	NaN	7375000000	160000000	0.732998623	0	0	889000000	4.0727236	NaN	NaN	NaN	NaN	1
10	1000	0.03902439	NaN	NaN	950	NaN	950	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13620000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
488300	3800000	0.415123926	2047000	0.023824651	1259200	1618139	1284000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	712663454.9	26.04128354	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
34700	2350000	0.4545233	699168	2.206287921	54390	807299	56790	50173751.29	958757115.1	11.73333558	754531485.6	204225629.6	669304.525	1008930866	-0.378514566	32291792.61	28325862.88	-161924991.2	-23337908.94	-266250468.2	-156821759.2	-10198539.83	40068801.49	53898800.9	13829999.41	8605037.049	127663386	20598750.06	9064000.611	9.561492667	26835842.36	692506646.9	0.892986787	597709726.3	94796920.59	NaN	719342489.3	33733636.29	2.015523241	18478998.97	9781481.297	148687118.5	8.883784136	NaN	NaN	NaN	NaN	0
195540	15200000	0.232521579	11505212	6.956487698	510890	33991700	513120	8123418765	85077535607	6.193642026	66908728391	18168807216	1267697585	93200954372	0.436688796	366140511.8	NaN	4771810541	-4973235876	8804114241	11174586667	131584388.7	4609377096	4521122168	-88254928.3	-521662755.1	940932175.2	NaN	NaN	NaN	3150182889	93881649848	0.849450701	78083315058	15798334791	7512109.383	97031832737	5232270340	3.668162816	3315992784	1786452799	1607350342	1.126857439	1.21233E+11	421	96573250000	115.3765435	2
