Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node Frequnecy	Patricia Crossno	0	0	0	0	0	0	1	1	0	2	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0
Node Frequnecy	Rainer Wegenkittl	0	0	0	0	0	0	0	2	0	0	2	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Alexandru Telea	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	1	0	0	0	0	0	2	0	0	0	0	1
Node Frequnecy	Danyel Fisher	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	1	2	0	0	1	0	0	1
Node Frequnecy	Hamish Carr	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	1	0	1	0	0	1	2
Node Frequnecy	Tino Weinkauf	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	1	0	0	0	2	1	0
Node Frequnecy	Ivan Viola	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	1	1	0	1	1	1
Node Frequnecy	Xianfeng Gu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	2	0	0	1
Node Frequnecy	Christopher Collins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	1	2	0	2
Node Frequnecy	Caroline Ziemkiewicz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	2	0	1	2	0
Node Frequnecy	Marc Streit	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	3	0	2
Node Frequnecy	Frits H. Post	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0
Node Frequnecy	Jian Huang	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	0	0
Node Frequnecy	Yun Jang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	3	0	1	0	0
Node Frequnecy	Weiwei Cui	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	3
Node Frequnecy	Hendrik Strobelt	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	2	2
Node Frequnecy	Jaegul Choo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	3	2
Node Frequnecy	Lambertus Hesselink	1	0	1	2	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Wim C. de Leeuw	0	0	0	1	0	1	0	0	2	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Michelle X. Zhou	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	2	0	1	0	1	0	1	0	0
Node Frequnecy	Ming Wan	0	0	0	0	0	0	0	1	0	2	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Renato Pajarola	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	1	0	0	0	0	0	2	0	0	0	0	0
Node Frequnecy	E. Wes Bethel	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	1	1	1	0	0	0	2	0	0	0	0
Node Frequnecy	Heidrun Schumann	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	2	0	2	0
Node Frequnecy	Robert Kosara	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	2	0	2	1	0	0	0	0	0
Node Frequnecy	David Gotz	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	0	2	0	0
Node Frequnecy	Ye Zhao	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	2	1	1
Node Frequnecy	Michael J. McGuffin	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	1	0	0	2	0	0	0
Node Frequnecy	Kim Marriott	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	2	3
Node Frequnecy	Alexander Lex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	3	1	0
Node Frequnecy	Michael Sedlmair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	2	0	2
Node Frequnecy	Fanny Chevalier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	1	2
Node Frequnecy	Kelly P. Gaither	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	1	0	0
Node Frequnecy	Wei Chen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	2
Node Frequnecy	Lichan Hong	0	0	0	0	1	3	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Dieter Schmalstieg	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	2	1	0	0
Node Frequnecy	Song Zhang 0004	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	1	0	0	0	0	1	0
Node Frequnecy	Mark A. Whiting	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	0	0	0	0	1	0
Node Frequnecy	Jean Scholtz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	0	0	1	0
Node Frequnecy	Luis Gustavo Nonato	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	1	1
Node Frequnecy	Cagatay Turkay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	3
Node Frequnecy	Bum Chul Kwon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	3	2
Node Frequnecy	R. Daniel Bergeron	0	1	0	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Taosong He	0	0	0	1	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Samuel P. Uselton	0	0	0	0	1	0	0	2	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Chris Shaw 0002	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0
Node Frequnecy	J. Edward Swan II	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Node Frequnecy	Paolo Cignoni	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	1	0	0	0	1	1	0	0	0	0	0
Node Frequnecy	George G. Robertson	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2	2	1	0	0	0	0	0	0	0
Node Frequnecy	Chaomei Chen	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	1	0	1	1	0	0	0	0	0	0	0
Node Frequnecy	Martin Hering-Bertram	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0
Node Frequnecy	Helmut Doleisch	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	1	0	1	1	0	0	0	0
Node Frequnecy	Jing Hua	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	0	1	1	0	1
Node Frequnecy	Marcus A. Magnor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	1	0	0	1	0
Node Frequnecy	Vijay Natarajan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	1	0	2	1	0	0
Node Frequnecy	Denis Gracanin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	1	2	0
Node Frequnecy	Attila Gyulassy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	1	1	0
Node Frequnecy	Adam Perer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	2	1	0
Node Frequnecy	Justin Talbot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	1	0	1	1	0
Node Frequnecy	Heike Leitte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	1	0	0	1	0
Node Frequnecy	Anastasia Bezerianos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	1	1	0	1
Node Frequnecy	Tatiana von Landesberger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	1	1	0
Node Frequnecy	Lane Harrison	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	1	2
Node Frequnecy	Hanqi Guo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	3	0
Node Frequnecy	Jian Zhao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	1	2
Node Frequnecy	Kai Lawonn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	3
Node Frequnecy	Ed Huai-hsin Chi	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Issei Fujishiro	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Node Frequnecy	Christopher G. Healey	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
