Variables	Terms	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
Node Frequnecy	Mark C. Miller	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Meenakshisundaram Gopi	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0
Node Frequnecy	Michael S. Brown	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	Herman Towles	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Susan L. Havre	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	James R. Eagan	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Node Frequnecy	Bruno L̩vy	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Alan H. Barr	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	William S. Cleveland	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Node Frequnecy	Joerg Meyer	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0
Node Frequnecy	Simon Stegmaier	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	David Auber	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Thomas Kapler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
Node Frequnecy	Arnold K̦chl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0
Node Frequnecy	Lars Linsen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0
Node Frequnecy	Alark Joshi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
Node Frequnecy	Heidi Lam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
Node Frequnecy	Prasenjit Mitra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0
Node Frequnecy	Wolfgang Freiler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0
Node Frequnecy	Tim Lammarsch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0
Node Frequnecy	Christian Tominski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1
Node Frequnecy	Markus H̦ferlin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0
Node Frequnecy	Michelle Borkin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0
Node Frequnecy	Hans-J̦rg Schulz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1
Node Frequnecy	Shehzad Afzal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0
Node Frequnecy	Abish Malik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0
Node Frequnecy	Marcel Hlawatsch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2
Node Frequnecy	Hua Guo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0
Node Frequnecy	Sung-Hee Kim	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1
Node Frequnecy	Michael Behrisch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1
Node Frequnecy	Harald Obermaier	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
Node Frequnecy	Matthew Brehmer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0
Node Frequnecy	Samuel Gratzl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
Node Frequnecy	Kasper Hornb�_k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
Node Frequnecy	Michael Correll	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
Node Frequnecy	Soumya Dutta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1
Node Frequnecy	Narayanan Kasthuri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
Node Frequnecy	B. L. William Wong	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1
Node Frequnecy	Dominik Sacha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
Node Frequnecy	Terry S. Yoo	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ricardo S. Avila	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Lisa M. Sobierajski	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Helen Wright	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Claudio Montani	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Craig Gotsman	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	John Riedl	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Rosane Minghim	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Node Frequnecy	Georges-Pierre Bonneau	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Yi-Jen Chiang	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Node Frequnecy	Bruno Jobard	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Donald H. House	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Voicu Popescu	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	Manuel Menezes de Oliveira Neto	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
Node Frequnecy	Greg Turk	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Meichun Hsu	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Node Frequnecy	Tobias Preu��er	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Xavier Cavin	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	James Abello	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Klaus H. Hinrichs	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Node Frequnecy	Rephael Wenger	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Node Frequnecy	James Agutter	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0
Node Frequnecy	Eric B. Lum	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Xiaoming Wei	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Ken Museth	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Marc Stamminger	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0
Node Frequnecy	Ralf K�_hler	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Node Frequnecy	Sung-Eui Yoon	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Jinzhu Gao	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	Matthew D. Cooper	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
Node Frequnecy	Mary Czerwinski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0
Node Frequnecy	Eduard Deines	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
Node Frequnecy	Gregory P. Johnson	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1
Node Frequnecy	Lujin Wang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
Node Frequnecy	Katja B�_hler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0
Node Frequnecy	Mario Hlawitschka	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
Node Frequnecy	Jorik Blaas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0
Node Frequnecy	Hui Zhang 0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0
Node Frequnecy	Geoffrey P. Ellis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Node Frequnecy	John Gerth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0
Node Frequnecy	Florian Mansmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
Node Frequnecy	Claes Lundstr̦m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
Node Frequnecy	Robert Kincaid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0
Node Frequnecy	Javier Oliv��n Besc�_s	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
Node Frequnecy	Steffen Oeltze-Jafra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
Node Frequnecy	Johann Kastner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1
Node Frequnecy	Guido Reina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1
Node Frequnecy	Hong Zhou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0
Node Frequnecy	J�_rgen Bernard	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
Node Frequnecy	Scott Barlowe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0
Node Frequnecy	Andreas Stoffel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0
Node Frequnecy	Mark W. Jones	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
Node Frequnecy	Krist Wongsuphasawat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1
Node Frequnecy	Martin Eisemann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0
Node Frequnecy	Jonathan W. Decker	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0
Node Frequnecy	Michael W̦rner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
Node Frequnecy	Florian Ferstl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1
Node Frequnecy	Benjamin Schindler	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
Node Frequnecy	Teng-Yok Lee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0
Node Frequnecy	Christian Partl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0
Node Frequnecy	Yu-Ru Lin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0
Node Frequnecy	Bettina Speckmann	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
Node Frequnecy	Aritra Dasgupta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1
Node Frequnecy	Dang Tuan Nhon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Node Frequnecy	Fabian Beck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Node Frequnecy	Sebastian Bremm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Node Frequnecy	Marcel Worring	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
Node Frequnecy	Lei Shi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Node Frequnecy	Thorsten May	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1
Node Frequnecy	Joseph Marino	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1
Node Frequnecy	Peter Filzmoser	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0
Node Frequnecy	Liang Gou	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
Node Frequnecy	Eli T. Brown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
Node Frequnecy	Dennis Thom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Node Frequnecy	Kai Xu 0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Node Frequnecy	Phong H. Nguyen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Node Frequnecy	Alvitta Ottley	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1
Node Frequnecy	Charles Perin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Node Frequnecy	Mengchen Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
Node Frequnecy	Creon Levit	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Node Frequnecy	William Chao	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Node Frequnecy	Daniel Ha	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Node degree	Eduard Groller	0	0	0	0	0	0	0	2	1	0	8	9	16	4	10	8	5	11	10	12	14	21	14	15	27	10	4
Node degree	Arie E. Kaufman	3	2	2	2	7	7	12	13	5	10	8	4	5	12	11	5	8	5	0	0	4	0	2	10	0	3	8
Node degree	Kwan-Liu Ma	0	0	1	1	1	2	0	1	0	2	4	2	7	8	7	1	0	1	8	11	7	0	10	2	14	0	8
Node degree	Thomas Ertl	0	0	0	0	0	0	0	5	1	9	8	6	4	6	4	22	5	3	2	5	6	6	16	7	14	7	16
Node degree	Daniel A. Keim	0	0	1	2	0	2	0	0	3	3	0	4	3	0	9	3	6	12	4	27	13	22	24	0	9	4	7
Node degree	Jarke J. van Wijk	0	0	0	2	0	2	3	0	2	3	5	4	1	4	3	3	3	1	1	0	0	7	2	0	2	5	0
Node degree	Cl��udio T. Silva	0	0	0	0	7	2	6	1	2	4	0	8	0	3	0	12	5	4	10	8	5	6	0	4	22	13	8
Node degree	Hanspeter Pfister	0	0	0	0	7	0	6	4	4	4	0	3	0	0	8	1	0	0	6	7	11	7	3	24	22	17	19
Node degree	David S. Ebert	0	0	0	0	3	0	5	0	2	3	1	0	6	8	10	8	15	12	10	13	0	4	10	0	22	0	5
Node degree	Daniel Weiskopf	0	0	0	0	0	0	0	0	0	0	2	0	2	2	3	19	8	0	1	3	4	10	14	5	5	6	23
Node degree	Huamin Qu	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	5	8	20	10	15	9	6	19	15	29
Node degree	Han-Wei Shen	0	0	0	0	1	1	3	1	0	2	0	0	0	9	3	1	3	1	1	4	2	2	0	4	0	5	14
Node degree	William Ribarsky	0	0	5	0	0	11	0	0	3	4	0	0	4	3	0	0	7	14	11	5	9	13	4	4	13	6	0
Node degree	David H. Laidlaw	0	0	0	0	0	0	0	0	8	6	5	18	0	5	23	0	5	0	0	5	3	0	8	0	5	6	2
Node degree	Bernd Hamann	1	1	0	0	0	0	6	9	3	4	5	10	3	11	5	13	0	22	3	0	4	7	12	0	6	0	0
Node degree	Helwig Hauser	0	0	0	0	0	0	0	0	0	0	3	3	5	6	3	7	1	8	9	6	5	3	3	3	14	0	6
Node degree	John T. Stasko	0	0	0	0	0	1	0	0	0	0	1	3	0	7	3	2	0	12	9	7	1	5	4	4	9	0	2
Node degree	Klaus Mueller	0	0	0	0	0	0	1	6	1	2	3	4	3	3	11	3	5	13	7	0	4	2	6	2	0	5	2
Node degree	Hans Hagen	2	0	1	0	4	0	0	4	0	3	3	7	3	4	18	9	6	12	0	5	4	5	17	0	0	5	0
Node degree	Valerio Pascucci	0	0	0	0	0	0	0	2	2	2	2	1	5	3	3	4	7	8	3	3	3	17	10	4	4	10	4
Node degree	Tamara Munzner	0	0	0	0	0	0	7	0	0	6	0	0	0	6	5	2	3	8	3	2	8	0	4	5	3	4	0
Node degree	Torsten M̦ller	0	0	0	0	0	0	0	6	2	2	0	8	3	3	3	0	4	0	0	2	11	5	0	4	7	0	9
Node degree	Gerik Scheuermann	0	0	0	0	0	0	0	4	0	3	2	7	3	1	6	2	4	5	6	3	14	0	3	0	0	4	0
Node degree	Charles D. Hansen	0	0	1	1	0	0	3	5	4	1	0	7	7	11	16	5	0	3	0	8	0	0	0	0	3	0	0
Node degree	Kenneth I. Joy	0	0	0	0	0	0	0	4	3	4	5	10	4	4	7	2	2	3	7	2	4	0	5	8	0	0	0
Node degree	Remco Chang	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	5	12	12	9	0	9	0	6
Node degree	R�_diger Westermann	0	0	0	0	0	0	0	1	0	2	2	1	0	2	0	2	3	0	2	8	13	2	5	0	2	3	3
Node degree	Holger Theisel	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	2	5	3	9	8	1	7	6	1	2	3
Node degree	M. Sheelagh T. Carpendale	0	0	0	0	0	0	4	0	4	0	0	0	3	2	1	2	0	2	5	4	6	4	5	0	2	5	3
Node degree	Jeffrey Heer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	4	5	3	0	3	9	4
Node degree	Chris North	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	2	1	0	0	14	5	9	3	6	5	4	0
Node degree	Jean-Daniel Fekete	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	4	0	6	6	5	7	8	0	6
Node degree	Jason Dykes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	4	2	5	6	14	5	0	9
Node degree	Matthew O. Ward	2	1	0	0	0	1	1	0	0	4	0	0	2	10	6	0	10	2	0	2	0	3	0	0	0	0	0
Node degree	Penny Rheingans	0	0	11	0	0	1	0	7	0	1	3	0	7	0	0	4	0	2	1	0	0	0	2	0	0	0	0
Node degree	Xiaoru Yuan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	6	2	3	9	26	12	6
Node degree	Alex T. Pang	0	0	0	1	1	0	4	0	6	3	2	2	1	1	1	6	0	0	0	0	0	0	0	0	0	0	0
Node degree	Stefan Bruckner	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	6	1	2	7	8	11	0	12
Node degree	Jo Wood	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	4	2	7	8	14	8	0	5
Node degree	Hans-Christian Hege	0	0	0	0	0	0	2	0	0	0	0	0	8	3	6	8	0	3	0	4	0	10	7	4	2	0	0
Node degree	Andrew J. Hanson	2	1	1	1	2	1	4	1	1	1	0	0	0	0	0	4	2	4	2	3	0	0	0	0	0	0	0
Node degree	Tobias Schreck	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	3	2	3	21	21	5	8	6	6
Node degree	Pat Hanrahan	0	0	4	0	0	0	0	0	0	4	1	0	2	5	0	4	2	8	7	0	2	2	2	0	0	0	0
Node degree	Roger Crawfis	0	1	2	2	2	0	0	11	1	2	5	3	1	5	2	0	0	0	0	0	0	0	0	0	0	0	0
Node degree	Bernhard Preim	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	5	4	3	0	0	3	7	8	13	7	6
Node degree	Ben Shneiderman	0	1	0	0	0	0	0	2	0	0	0	1	0	4	1	6	8	0	0	8	0	3	0	6	0	0	3
Node degree	Melanie Tory	0	0	0	0	0	0	0	0	0	0	0	4	0	5	1	4	0	4	0	2	11	0	0	7	1	0	2
Node degree	Petra Isenberg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	8	3	11	8	7	0	4
Node degree	Anna Vilanova	0	0	0	0	0	0	0	0	0	0	5	3	13	0	2	8	0	5	6	3	6	6	7	0	0	10	7
Node degree	Markus Hadwiger	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	5	9	0	3	8	5	12	6	0
Node degree	Shixia Liu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	7	9	8	18	0	11
Node degree	Georges G. Grinstein	0	2	10	0	3	1	2	7	2	0	0	0	0	6	0	0	5	5	7	3	0	0	0	0	0	0	0
Node degree	Bongshin Lee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	4	10	9	0	5	7	0	4	8
Node degree	Hans-Peter Seidel	0	0	0	0	0	0	0	0	0	0	0	3	0	6	3	13	2	2	4	0	0	0	0	0	8	0	0
Node degree	Gregory M. Nielson	1	1	0	0	0	0	2	3	2	2	1	0	2	0	3	0	6	0	0	0	0	0	0	0	0	0	0
Node degree	Pak Chung Wong	0	0	0	0	0	1	2	1	3	2	6	0	0	4	9	5	4	0	4	5	0	0	0	0	0	0	0
Node degree	Gennady L. Andrienko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8	4	11	8	4	0	5	0
Node degree	Natalia V. Andrienko	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8	4	11	8	4	0	5	0
Node degree	Deborah Silver	0	2	1	0	0	3	1	0	4	0	3	0	0	0	4	5	2	2	0	0	0	0	2	0	0	0	0
Node degree	Robert J. Moorhead II	0	0	0	0	2	0	16	3	0	0	2	5	0	2	4	0	2	0	0	4	5	0	0	0	0	0	0
Node degree	Xavier Tricoche	0	0	0	0	0	0	0	0	0	2	2	2	0	0	7	0	0	7	6	0	5	2	2	1	0	0	0
Node degree	Catherine Plaisant	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	8	5	5	13	0	3	0	6	0	0	3
Node degree	Kresimir Matkovic	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	4	0	0	8	3	5	0	7	0	18	2	0
Node degree	Peer-Timo Bremer	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	4	2	3	0	3	16	9	4	6	7	0
Node degree	Christoph Garth	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	12	4	2	4	2	6	3	2	0	0
Node degree	Peter Lindstrom	0	0	0	0	0	5	0	0	1	0	0	2	4	3	0	1	2	1	0	0	0	2	0	0	0	1	0
Node degree	Raghu Machiraju	0	0	0	0	0	0	0	6	0	3	2	4	2	5	6	0	5	4	2	0	0	0	0	0	0	0	0
Node degree	Gordon L. Kindlmann	0	0	0	0	0	0	0	0	0	2	0	2	2	3	7	0	1	0	2	3	1	0	0	1	1	4	0
Node degree	Min Chen	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	7	0	0	0	5	4	10	10	0	0	2
Node degree	Niklas Elmqvist	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	2	0	6	4	20	4	7
Node degree	Nathalie Henry Riche	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	4	7	8	8	0	0	8
Node degree	Ross Maciejewski	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	3	2	4	10	0	10	0	1
Node degree	Chris Weaver	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	0	4	0	3	1	0	0	0
Node degree	Carlos Eduardo Scheidegger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	4	10	4	0	0	0	2	1	4	7
