PPG, bilateral (NTR, current US$)	PPG, bilateral concessional (NTR, current US$)	Net transfers on external debt, total (NTR, current US$)	Net transfers on external debt, long-term (NTR, current US$)	Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)	Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)	PPG, IBRD (NTR, current US$)	PPG, IDA (NTR, current US$)	PPG, multilateral (NTR, current US$)	PPG, multilateral concessional (NTR, current US$)	PPG, official creditors (NTR, current US$)	PPG, bonds (NTR, current US$)	PPG, commercial banks (NTR, current US$)	PNG, bonds (NTR, current US$)	PNG, commercial banks and other creditors (NTR, current US$)	PPG, other private creditors (NTR, current US$)	PPG, private creditors (NTR, current US$)	Net official development assistance and official aid received (current US$)	Net official development assistance and official aid received (constant 2010 US$)	Net official aid received (current US$)	Net official aid received (constant 2010 US$)	Net official development assistance received (current US$)	Net ODA received (% of gross capital formation)	Net ODA received (% of GNI)	Net official development assistance received (constant 2010 US$)	Net ODA received (% of imports of goods and services)	Net ODA received per capita (current US$)	Net ODA received (% of central government expense)	PPG, bilateral (TDS, current US$)	PPG, bilateral concessional (TDS, current US$)	Debt service on external debt, total (TDS, current US$)	Total debt service (% of exports of goods, services and income)	Total debt service (% of GNI)	IMF repurchases and charges (TDS, current US$)	Debt service on external debt, long-term (TDS, current US$)	Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)	Debt service (PPG and IMF only, % of exports, excluding workers' remittances)	Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)	Public and publicly guaranteed debt service (% of GNI)	Public and publicly guaranteed debt service (% of exports, excluding workers' remittances)	PPG, IBRD (TDS, current US$)	PPG, IDA (TDS, current US$)	Multilateral debt service (TDS, current US$)	Multilateral debt service (% of public and publicly guaranteed debt service)	PPG, multilateral concessional (TDS, current US$)	PPG, official creditors (TDS, current US$)	PPG, bonds (TDS, current US$)	PPG, commercial banks (TDS, current US$)	PNG, bonds (TDS, current US$)	PNG, commercial banks and other creditors (TDS, current US$)	PPG, other private creditors (TDS, current US$)	PPG, private creditors (TDS, current US$)	Total amount of debt rescheduled (current US$)	Undisbursed external debt, total (UND, current US$)	Undisbursed external debt, official creditors (UND, current US$)	Undisbursed external debt, private creditors (UND, current US$)	Agriculture value added per worker (constant 2000 US$)	Income
98288000	29016000	233111000	241772000	-619000	242391000	98229000	0	45887000	0	144175000	0	22939000	0	-619000	75277000	98216000	118820000	155190000	118820000	155190000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1954000	1037000	118810000	4.301748796	0.797232766	5161000	110149000	619000	4.152612332	109530000	0.734962586	3.965748217	1913000	0	65182000	59.51063636	0	67136000	0	348000	0	619000	42046000	42394000	0	409141000	280303000	128838000	1929.5046	2
-4969000	-2157000	-8545000	-4615000	0	-4615000	2610000	0	2520000	-1367000	-2449000	0	1131000	0	0	-3297000	-2166000	29170000	43140000	NaN	NaN	29170000	24.43480623	5.218618322	43140000	8.38195509	138.2464455	23.79874275	9087000	2173000	24833000	8.85343506	4.442713363	0	23903000	0	8.521872438	23903000	4.276333005	8.521872438	3776000	0	8078000	33.79492114	2877000	17165000	0	3441000	0	0	3297000	6738000	0	93120000	78075000	15045000	4013.913763	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-12480000	-15580000	NaN	NaN	-12480000	NaN	-0.667651001	-15580000	NaN	-203.588907	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
-15998000	26309000	161973000	72545000	-9500000	82045000	-34652000	72935000	101249000	93850000	85251000	-24000	2392000	0	-9500000	-5574000	-3206000	561280000	764280000	NaN	NaN	561280000	65.29756462	9.688234246	764280000	36.11840412	76.84314432	NaN	75148000	30584000	347540000	28.96649442	5.998875659	15515000	320807000	34400000	25.16436073	286407000	4.943661106	23.87122854	34652000	6606000	199770000	69.75039018	35847000	274918000	24000	5747000	0	34400000	5718000	11489000	0	1195431000	1188803000	6628000	749.3690223	1
-2101556000	-337634000	2696110000	-2301479000	2696339000	-4997818000	-1242151000	0	-1505212000	-985000	-3606768000	-1937313000	1149514000	1352900000	1343439000	-603251000	-1391050000	251340000	323760000	NaN	NaN	251340000	0.207777988	0.04679435	323760000	0.458750091	1.576802219	0.139825439	2199797000	341033000	15937199000	31.12004804	2.967179369	147861000	14286788000	5672107000	17.11032961	8614681000	1.6038768	16.82160626	1882563000	0	2454773000	28.49522809	985000	4654570000	2339187000	670663000	2162871000	3509236000	950261000	3960111000	43451325000	21092425000	11734468000	9357957000	1805.417014	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1030000	-1070000	NaN	NaN	-1030000	-0.445513783	-0.061074266	-1070000	-0.108378044	-3.921762737	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9873.999183	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5260000	5580000	NaN	NaN	5260000	0.449084628	0.128690117	5580000	NaN	18.65248227	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21546.74278	3
2637000	2637000	2233000	3236000	0	3236000	0	1130000	3663000	3663000	6300000	0	0	0	0	-3064000	-3064000	73100000	94670000	NaN	NaN	73100000	52.62649745	26.49049683	94670000	NaN	139.659201	138.684427	3334000	3334000	7529000	NaN	2.728412458	0	7529000	0	NaN	7529000	2.728412458	NaN	0	215000	1131000	15.02191526	1131000	4465000	0	0	0	0	3064000	3064000	0	77427000	77427000	0	714.2832015	1
-7710000	184000	-32558000	-32578000	0	-32578000	-29207000	-538000	-21753000	20393000	-29463000	0	-393000	0	0	-2722000	-3115000	85180000	126490000	NaN	NaN	85180000	7.417198076	2.06988935	126490000	3.996541423	55.08227422	6.878651843	13987000	5938000	91894000	4.0107105	2.23304076	0	91714000	0	NaN	91714000	2.228666728	4.002854406	30289000	538000	74611000	81.35181106	10580000	88598000	0	394000	0	0	2722000	3116000	0	186570000	183180000	3390000	669.0838313	2
-1109000	-1109000	21092000	28202000	0	28202000	0	36120000	29663000	33344000	28554000	0	0	0	0	-352000	-352000	167560000	232170000	NaN	NaN	167560000	167.8943257	20.13452508	232170000	62.7310174	51.59731187	NaN	1109000	1109000	23148000	12.92945503	2.781534892	5417000	15751000	0	11.82351408	15751000	1.892688616	8.797816058	0	3988000	14290000	90.72439845	10609000	15399000	0	0	0	0	352000	352000	38526000	133301000	133301000	0	321.6645528	0
