Time required to build a warehouse (days)	Procedures to build a warehouse (number)	Investment in energy with private participation (current US$)	Investment in telecoms with private participation (current US$)	Investment in transport with private participation (current US$)	Investment in water and sanitation with private participation (current US$)	Scientific and technical journal articles	Patent applications, nonresidents	Patent applications, residents	Trademark applications, aggregate direct	Trademark applications, Madrid	Trademark applications, direct nonresident	Trademark applications, direct resident	Trademark applications, total	CPIA business regulatory environment rating (1=low to 6=high)	CPIA debt policy rating (1=low to 6=high)	CPIA economic management cluster average (1=low to 6=high)	CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)	CPIA quality of budgetary and financial management rating (1=low to 6=high)	CPIA financial sector rating (1=low to 6=high)	CPIA fiscal policy rating (1=low to 6=high)	CPIA gender equality rating (1=low to 6=high)	CPIA building human resources rating (1=low to 6=high)	IDA resource allocation index (1=low to 6=high)	CPIA macroeconomic management rating (1=low to 6=high)	CPIA quality of public administration rating (1=low to 6=high)	CPIA equity of public resource use rating (1=low to 6=high)	CPIA property rights and rule-based governance rating (1=low to 6=high)	CPIA social protection rating (1=low to 6=high)	CPIA public sector management and institutions cluster average (1=low to 6=high)	CPIA efficiency of revenue mobilization rating (1=low to 6=high)	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	CPIA structural policies cluster average (1=low to 6=high)	CPIA trade rating (1=low to 6=high)	CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)	Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)	Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)	Air transport, registered carrier departures worldwide	Air transport, freight (million ton-km)	Air transport, passengers carried	Road sector diesel fuel consumption (kt of oil equivalent)	Road sector diesel fuel consumption per capita (kg of oil equivalent)	Road density (km of road per 100 sq. km of land area)	Road sector energy consumption (kt of oil equivalent)	Road sector energy consumption per capita (kg of oil equivalent)	Road sector energy consumption (% of total energy consumption)	Roads, goods transported (million ton-km)	Roads, paved (% of total roads)	Roads, passengers carried (million passenger-km)	Road sector gasoline fuel consumption (kt of oil equivalent)	Road sector gasoline fuel consumption per capita (kg of oil equivalent)	Roads, total network (km)	Railways, goods transported (million ton-km)	Railways, passengers carried (million passenger-km)	Rail lines (total route-km)	Liner shipping connectivity index (maximum value in 2004 = 100)	Container port traffic (TEU: 20 foot equivalent units)	Motor vehicles (per 1,000 people)	Passenger cars (per 1,000 people)	Vehicles (per km of road)	Mobile cellular subscriptions	Mobile cellular subscriptions (per 100 people)	Telephone lines	Telephone lines (per 100 people)	Fixed broadband Internet subscribers	Fixed broadband Internet subscribers (per 100 people)	Secure Internet servers	Secure Internet servers (per 1 million people)	Internet users	Internet users (per 100 people)	Daily newspapers (per 1,000 people)	Lead time to export, median case (days)	Lead time to import, median case (days)	Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)	Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)	Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)	Logistics performance index: Competence and quality of logistics services (1=low to 5=high)	Logistics performance index: Overall (1=low to 5=high)	Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)	Logistics performance index: Ability to track and trace consignments (1=low to 5=high)	Income
NaN	NaN	NaN	NaN	NaN	NaN	14933.6	19176	2418	NaN	4694	13998	30618	49310	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	529648	1355.351	41386432	6390	321.1797702	11	22873	1149.662736	20.21811933	152777	NaN	NaN	13799	693.5774099	812972	41314	1347	9474	NaN	4758428	644	524	16	14347000	72.31307069	10460000	52.72145531	516800	2.604822955	5749	288.9612674	NaN	NaN	158.7390136	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	4692.1	213	2120	NaN	8460	968	7458	16886	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	128449	430.701	6902780	5208	641.2669307	160	7644	941.214366	23.68959197	26411	100	69000	2196	270.3959639	133928	17852	8150	5655	NaN	NaN	595	499	36	7274000	89.42451257	3877000	47.66274886	601000	7.388525166	1156	142.3395875	3473318.345	42.76736164	307.1083279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	39000000	NaN	NaN	110.3	NaN	NaN	NaN	1845	401	265	2511	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9195	67.109	683700	326	39.59145505	NaN	884	107.3584241	7.372214258	6241	NaN	9861	451	54.77222769	NaN	7719	654.3	NaN	NaN	NaN	61	49	NaN	1057100	12.61947826	941366	11.23786565	NaN	NaN	1	0.121446181	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	6000000	NaN	NaN	5.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	NaN	64000	0.935841623	23895	0.349405243	0	0	NaN	NaN	13764.59892	0.201273197	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	6302.3	188	519	NaN	8403	1608	21736	31747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132779	604.608	2904114	5799	558.8787268	490	8204	790.660644	13.84912068	51147	78	126680	2105	202.8694119	149738.9063	8306	8265	3521	NaN	6482443	524	465	36	8605834	83.52658246	4875000	47.31581965	1242928	12.06362197	576	55.51201011	5148463.068	49.61832185	162.65613	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	7300000	NaN	NaN	27.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	116	16.18986581	NaN	463	64.61989545	19.30894818	NaN	NaN	NaN	321	44.80126661	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	236175	3.296242723	66511	0.928279453	21	0.000293092	NaN	NaN	68162.35947	0.951327115	0.376808966	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	205000000	NaN	NaN	200.1	260	58	NaN	NaN	1310	4085	5395	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7165	175.496	1587606	594	4.351177596	166	939	6.878376704	4.326811491	NaN	9.5	NaN	299	2.190239227	239226	951.987	4024	2855	NaN	625160	NaN	NaN	NaN	1365000	0.999891821	742048	0.5435661	0	0	1	0.007325215	223717.2149	0.163877665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	793600000	230300000	NaN	NaN	774.7	680	278	NaN	5462	923	5225	11610	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4577	0.628	310952	1054	134.7213294	NaN	2042	261.0065984	10.46650204	6840	NaN	14401	586	74.90199151	NaN	5274	2517	4318	NaN	NaN	338	295	NaN	3500869	44.65327494	2817512	35.93711675	0	0	24	3.067658355	943950.0868	12.06548488	85.0589038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	38.2	NaN	NaN	NaN	NaN	2176	382	2558	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28508	341.232	1850491	193	298.2242523	493	659	1018.289027	9.760337071	NaN	79.12999725	NaN	429	662.8922499	3498	NaN	NaN	NaN	NaN	NaN	383	325	77	443109	68.46935244	185756	28.7030799	9737	1.504564531	14	21.63284732	139495.8442	21.55494499	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	0	NaN	NaN	18.5	242	32	NaN	3473	767	179	4419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4570	0.527	72864	407	107.5946205	NaN	686	181.3511294	15.56391631	300	NaN	NaN	259	68.46930394	NaN	312	55	1032	NaN	NaN	NaN	NaN	NaN	1074790	28.41317497	938019	24.79749344	1500	0.039654037	4	1.057440988	149986.1224	3.965036834	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	241000000	NaN	NaN	520.6	298	1082	NaN	4338	880	1972	7190	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6047	1.093	234273	642	65.01945317	45	1227	124.2661512	4.719405569	12710	86.40000153	9768	508	51.44841466	93055	38402	13308	5502	NaN	NaN	NaN	168	NaN	1118000	11.27251693	3071342	30.96758022	123	0.001240179	6	0.607658441	NaN	NaN	82.23183419	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	30000000	45000000	NaN	NaN	1.6	NaN	NaN	NaN	NaN	573	74	647	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	162	121	NaN	60403	22.47469862	33278	12.3820509	940	0.349754428	33	120.5699671	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40000	62.83874008	54000	84.83229911	NaN	NaN	62	984.1269841	35979.08686	57.10966168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	29100000	75800000	NaN	NaN	38.8	NaN	NaN	NaN	NaN	3232	1040	4272	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28901	24.522	1770774	395	44.8053525	6	973	110.3686278	25.82644628	NaN	7	NaN	511	57.96338007	60751	NaN	NaN	NaN	NaN	NaN	45	14	7	1278844	14.50609018	610261	6.922268158	5740	0.06510955	10	1.134312722	309314.736	3.508596401	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	3650440000	3157800000	107800000	45500000	8330.2	14015	3689	NaN	NaN	13724	81856	95580	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	486777	1478.37	32372040	24012	132.2005925	20	43491	239.4442765	21.84453427	NaN	NaN	NaN	11885	65.43411802	1738990	180461	NaN	NaN	NaN	4230474	164	131	17	46373266	25.53128953	39205000	21.58472526	966252	0.531980205	1580	8.698856245	23989344.64	13.2075861	35.59105708	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	26.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	372	NaN	NaN	NaN	NaN	100	NaN	NaN	NaN	1600	NaN	NaN	NaN	NaN	NaN	377	341	63	140000	51.96945681	134000	49.74219437	27319	10.14109708	25	92.80260144	106919.4896	39.68962712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	19.2	43	NaN	NaN	NaN	777	41	818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11812	149.443	956133	96	275.2522429	NaN	311	891.7025785	12.05955949	NaN	NaN	NaN	198	567.7077509	NaN	NaN	NaN	NaN	NaN	NaN	NaN	395	NaN	177365	50.85428548	81925	23.489625	3838	1.100435529	3	8.60163259	68341.68868	19.59500322	69.91755322	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	2.3	NaN	NaN	NaN	620	2	4	626	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1890	0.21	36365	NaN	NaN	20	NaN	NaN	NaN	NaN	62	NaN	NaN	NaN	8050	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2255	0.361128772	23657	3.788569113	0	0	NaN	NaN	15216.83647	2.436912399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1
NaN	NaN	NaN	17000000	NaN	NaN	66.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7214	0.277	188842	105	57.37306755	4	445	243.1525244	23.33718615	NaN	35.13999939	NaN	314	171.5727925	25233	NaN	NaN	NaN	NaN	NaN	96	37	7	444978	24.31405034	131399	7.179774956	0	0	NaN	NaN	61221.22858	3.345190174	34.95422528	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2
NaN	NaN	NaN	NaN	NaN	NaN	6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	40000	1.02825781	9500	0.24421123	0	0	NaN	NaN	5895.927518	0.151563338	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0
NaN	NaN	NaN	NaN	NaN	NaN	23553.8	33299	3929	NaN	NaN	20640	18072	38712	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1036092	1496.297	35884417	8874	280.1490087	NaN	40873	1290.346003	15.59812835	184774	NaN	NaN	29344	926.3795934	NaN	239232.7228	NaN	29220.61192	NaN	3631072	582	561	NaN	13291000	42.0487335	20612000	65.21017944	4513000	14.27777701	10785	340.4785958	20292696.8	64.06331861	176.71885	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	8133.9	396	1831	11822	10187	NaN	NaN	22009	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	189121	1248.302	10118096	1434	195.3944413	172	5432	740.1552337	20.91329579	14582	100	94861	3775	514.3751854	71171	9341	12290	2990	NaN	NaN	554	512	57	6189000	84.69869899	5323452	72.85336218	783874	10.72759864	1931	263.1148299	4756907.778	64.81682967	446.9967702	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3
