Emigration rate of tertiary educated (% of total tertiary educated population)	Net migration	Refugee population by country or territory of asylum	Refugee population by country or territory of origin	International migrant stock, total	International migrant stock (% of population)	Prevalence of undernourishment (% of population)	Depth of hunger (kilocalories per person per day)	Consumption of iodized salt (% of households)	Vitamin A supplementation coverage rate (% of children ages 6-59 months)	Adolescent fertility rate (births per 1,000 women ages 15-19)	Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)	Completeness of total death reporting (% of reported total deaths to estimated total deaths)	Mortality rate, adult, female (per 1,000 female adults)	Mortality rate, adult, male (per 1,000 male adul ts)	Birth rate, crude (per 1,000 people)	Death rate, crude (per 1,000 people)	Contraceptive prevalence (% of women ages 15-49)	Mortality rate, infant (per 1,000 live births)	Life expectancy at birth, female (years)	Life expectancy at birth, total (years)	Life expectancy at birth, male (years)	Fertility rate, total (births per woman)	Survival to age 65, female (% of cohort)	Survival to age 65, male (% of cohort)	Wanted fertility rate (births per woman)	Female headed households (% of households with a female head)	Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant)	Population ages 0-14 (% of total)	Population ages 15-64 (% of total)	Population ages 65 and above (% of total)	Age dependency ratio (% of working-age population)	Age dependency ratio, old (% of working-age population)	Age dependency ratio, young (% of working-age population)	Population growth (annual %)	Researchers in R&D (per million people)	Technicians in R&D (per million people)	Population, total	Population, female (% of total)	Completeness of birth registration, rural (%)	Completeness of birth registration, urban (%)	Completeness of birth registration (%)	Rural population	Rural population growth (annual %)	Rural population (% of total population)	Urban population growth (annual %)	Urban population	Urban population (% of total)	Unmet need for contraception (% of married women ages 15-49)	International tourism, number of arrivals	International tourism, number of departures	International tourism, receipts (current US$)	International tourism, receipts (% of total exports)	International tourism, receipts for passenger transport items (current US$)	International tourism, expenditures for passenger transport items (current US$)	International tourism, receipts for travel items (current US$)	International tourism, expenditures for travel items (current US$)	International tourism, expenditures (current US$)	International tourism, expenditures (% of total imports)	Merchandise trade (% of GDP)	Import volume index (2000 = 100)	Income
NaN	NaN	300	3983	NaN	NaN	NaN	NaN	96.8	91	118.0604	NaN	NaN	134.2326	NaN	26.078	4.941	NaN	30.2	74.127	71.08558537	68.189	2.968	77.8376155	67.4788896	NaN	NaN	NaN	38.99902255	57.04666043	3.954317016	75.29509921	6.931723936	68.36337528	1.304682241	NaN	NaN	5288271	50.29025555	NaN	NaN	NaN	2355681.47	0.76913859	44.5454	1.736959051	2932589.53	55.4546	NaN	526000	562000	160000000	12.18026797	NaN	64000000	160000000	75000000	139000000	5.782511024	60.55363756	102.6847495	1
NaN	NaN	140886	271	NaN	NaN	NaN	NaN	NaN	NaN	6.6712	NaN	NaN	66.29506283	NaN	12.3	8.7	67	4.8	80.9	78.49268293	76.2	1.75	90.6967293	84.9947047	NaN	NaN	NaN	18.56820338	67.64015045	13.79164616	47.84118505	20.38973313	27.45145193	0.471814399	2714.44974	1379.873686	16225302	50.5471377	NaN	NaN	NaN	3436064.655	-2.664002278	21.1772	1.331341513	12789237.34	78.8228	NaN	9181000	16425000	14603000000	4.449511403	5440000000	622000000	9163000000	15265000000	15887000000	5.434356552	104.1619052	103.2735983	3
NaN	NaN	46109	6	NaN	NaN	NaN	NaN	NaN	NaN	9.5088	NaN	NaN	56.98804749	NaN	12.4	9.3	NaN	3.4	81.9	79.3902439	77	1.8	91.5359769	85.3906026	NaN	NaN	NaN	19.89559208	65.23913397	14.86527395	53.28223094	22.78582354	30.4964074	0.586532692	4604.203867	NaN	4564855	50.47035772	NaN	NaN	NaN	1053276.383	-0.627378702	23.0736	0.953529477	3511578.617	76.9264	NaN	3269000	2588000	2989000000	3.309017054	489000000	373000000	2500000000	6716000000	7089000000	11.60751369	48.19264372	98.91962618	3
NaN	NaN	123667	1231	NaN	NaN	NaN	NaN	NaN	96	116.6098	NaN	NaN	206.5504	NaN	30.216	7.55	NaN	54.5	64.493	63.98029268	63.492	3.641	65.6670593	62.3776476	NaN	NaN	NaN	40.1441481	56.17374762	3.682104279	78.01910008	6.554848902	71.46425118	2.247245162	NaN	NaN	26143530	50.28818412	NaN	NaN	NaN	22368195.12	1.854605189	85.5592	4.605735984	3775334.88	14.4408	NaN	338000	258000	232000000	21.57523594	33000000	38000000	199000000	81000000	119000000	6.159026246	38.16458406	106.3057178	0
NaN	NaN	5807	1	NaN	NaN	NaN	NaN	NaN	NaN	27.8852	NaN	NaN	64.69995973	NaN	13.77	6.98	NaN	5.7	81.4	79.14634146	77	1.91	90.1251364	85.1477286	NaN	NaN	NaN	22.06322567	66.07708669	11.85968764	51.33839128	17.94826049	33.39013079	1.973558544	3935.068142	817.0078908	4027200	50.99590327	NaN	NaN	NaN	567754.656	1.442978261	14.098	2.060905474	3459445.344	85.902	NaN	2086000	1374000	4232000000	17.85998137	NaN	NaN	4232000000	1649000000	1649000000	7.150368873	40.4507035	104.9633361	3
NaN	NaN	NaN	11	NaN	NaN	NaN	NaN	NaN	NaN	16.3514	NaN	NaN	90.0948	NaN	21.188	3.191	NaN	13.9	75.078	74.07307317	73.116	2.948	85.1185922	79.7894938	NaN	NaN	NaN	34.11564965	63.11624855	2.768101803	58.43780691	4.385719789	54.05208712	1.426803006	NaN	NaN	2335967	45.24456446	NaN	NaN	NaN	659401.4367	1.187612459	28.2282	1.521034801	1676565.563	71.7718	NaN	630000	NaN	546000000	4.429985229	161000000	174000000	385000000	630000000	804000000	9.285096414	85.73723256	146.8754863	3
NaN	NaN	1124298	24389	NaN	NaN	NaN	NaN	NaN	95	39.3328	NaN	NaN	168.9638	NaN	28.986	7.975	32.1	71.2	64.543	63.73885366	62.973	3.987	68.7618345	65.1658076	NaN	NaN	NaN	39.40770536	56.56829491	4.023999729	76.77746899	7.113524873	69.66394412	1.800528809	NaN	NaN	153139895	48.86610867	NaN	NaN	NaN	101158395.3	1.394729836	66.0562	2.594984251	51981499.68	33.9438	NaN	501000	NaN	620000000	4.178742333	498000000	238000000	122000000	925000000	1163000000	7.615243583	29.99346466	110.5734255	1
NaN	NaN	1445	30	NaN	NaN	NaN	NaN	NaN	NaN	87.718	NaN	NaN	77.313	NaN	22.506	4.975	NaN	19.8	77.405	74.78	72.28	2.687	86.1100329	77.5668549	NaN	NaN	NaN	30.94241781	63.3350045	5.722577696	57.89057062	9.035410577	48.85516004	1.822321381	97.26241496	NaN	3125565	49.57465317	NaN	NaN	NaN	976445.2594	-1.299938793	31.2406	3.273770746	2149119.741	68.7594	NaN	566000	227000	804000000	10.5622701	219000000	59000000	585000000	208000000	267000000	3.525124766	30.54387159	90.74598297	2
NaN	NaN	718	5581	NaN	NaN	NaN	NaN	NaN	NaN	60.139	NaN	NaN	109.215	NaN	22.81	5.582	NaN	24.4	74.494	71.75939024	69.155	2.774	80.6960536	71.274477	NaN	NaN	NaN	32.80032756	61.94278465	5.256887785	61.43930332	8.486683017	52.95262031	1.260270001	NaN	NaN	26916342	49.85376914	NaN	NaN	NaN	6934403.357	-0.27431061	25.7628	1.798373355	19981938.64	74.2372	NaN	1136000	1433000	1023000000	9.466675885	60000000	206000000	963000000	641000000	847000000	7.827812579	28.53409037	112.877818	2
NaN	NaN	108	412	NaN	NaN	NaN	NaN	NaN	76	53.9148	NaN	NaN	161.0146	NaN	28.569	5.981	48.9	26.6	70.513	67.18936585	64.024	3.643	79.6573925	71.0022379	2.5	15.4	8	37.72854205	58.98698242	3.284475534	69.52892978	5.568136221	63.96079356	2.042213145	71.20811617	11.39815921	82293990	49.66708687	NaN	NaN	NaN	42779872.35	2.025671025	51.9842	2.06012552	39514117.65	48.0158	17.3	1907000	1803000	1821000000	4.702024375	277000000	236000000	1544000000	1413000000	1649000000	3.543036397	93.92018647	140.2112671	1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.4	6.7	32.8	18.2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.636604223	NaN	NaN	19698	NaN	NaN	NaN	NaN	5002.267704	-5.278335972	25.3948	2.732534342	14695.7323	74.6052	NaN	68000	NaN	76000000	NaN	NaN	NaN	NaN	NaN	1000000	NaN	78.75545923	66.86646677	2
NaN	NaN	7491	18	NaN	NaN	NaN	NaN	NaN	1	70.1502	18.76520955	13.95091272	275.949	NaN	33.599	8.66	NaN	51.6	61.954	59.82531707	57.798	4.335	57.5484826	45.807355	NaN	NaN	NaN	40.11244126	57.32575913	2.561799612	74.44164983	4.468845508	69.97280432	2.496567108	NaN	NaN	5803029	49.01296392	NaN	NaN	NaN	5058976.228	2.642811444	87.1782	1.507850815	744052.7723	12.8218	NaN	56000	NaN	4900000	0.201125588	900000	100000	4000000	52000000	52100000	2.418244628	101.0505107	114.9150511	1
NaN	NaN	1836	15211	NaN	NaN	NaN	NaN	NaN	NaN	14.9012	NaN	NaN	80.55194117	NaN	9.2	9.6	NaN	7	78.9	74.59756098	70.5	1.22	88.0798741	69.9120586	NaN	NaN	NaN	17.50845879	69.57514014	12.91640108	43.7294985	18.56467849	25.16482001	-0.067492702	1533.974773	284.8567199	38204570	51.58108712	NaN	NaN	NaN	14685836.71	0.067874633	38.44	-0.151927481	23518733.29	61.56	NaN	13720000	38730000	4733000000	6.557127222	664000000	201000000	4069000000	3085000000	3286000000	4.231101039	56.28855727	119.9308213	3
