

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000600000001,2016,M05,-0.7
SMS01000000600000001,2016,M06,0.1
SMS01000000600000001,2016,M07,1.7
SMS01000000600000001,2016,M08,-1.2
SMS01000000600000001,2016,M09,1.1
SMS01000000600000001,2016,M10,-0.7
SMS01000000600000001,2016,M11,0.2
SMS01000000600000001,2016,M12,1.0
SMS01000000600000001,2017,M01,2.7
SMS01000000600000001,2017,M02,0.7
SMS01000000600000001,2017,M03,-1.0
SMS01000000600000001,2017,M04,-0.8
SMS01000000600000001,2017,M05,0.3
SMS01000000600000001,2017,M06,-0.1
SMS01000000600000001,2017,M07,0.1
SMS01000000600000001,2017,M08,0.7
SMS01000000600000001,2017,M09,0.1
SMS01000000600000001,2017,M10,-0.3
SMS01000000600000001,2017,M11,1.0
SMS01000000600000001,2017,M12,1.0
SMS01000000600000001,2018,M01,0.4
SMS01000000600000001,2018,M02,0.7
SMS01000000600000001,2018,M03,1.3
SMS01000000600000001,2018,M04,2.5
SMS01000000600000001,2018,M05,0.6
SMS01000000600000001,2018,M06,0.3
SMS01000000600000001,2018,M07,0.6
SMS01000000600000001,2018,M08,1.0(P)

P : Preliminary


1-Month Net Change
Series Id:    SMS01000000700000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Service-Providing
Industry:     Service-Providing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS01000000700000001,2000,M01,-1.0
SMS01000000700000001,2000,M02,-0.5
SMS01000000700000001,2000,M03,6.7
SMS01000000700000001,2000,M04,-1.9
SMS01000000700000001,2000,M05,10.2
SMS01000000700000001,2000,M06,-7.0
SMS01000000700000001,2000,M07,-1.8
SMS01000000700000001,2000,M08,3.1
SMS01000000700000001,2000,M09,3.6
SMS01000000700000001,2000,M10,-0.3
